time,base_duration,jitter,duration,seed,rps,case_id,policy,workload,function_name,node_name,request_id
2026-07-06 22:43:32.286325,0.18,0.07648274175113995,0.25648274175113994,2,3,default_skippy__low_load__seed_2,default_skippy,low_load,batch-exp-python-pi,server_10,13
2026-07-06 22:43:32.286403,0.18,0.07582619896474795,0.25582619896474795,2,3,default_skippy__low_load__seed_2,default_skippy,low_load,batch-exp-python-pi,server_10,14
2026-07-06 22:43:32.286436,0.18,0.004524109418144695,0.18452410941814468,2,3,default_skippy__low_load__seed_2,default_skippy,low_load,batch-exp-python-pi,server_10,15
2026-07-06 22:43:32.286468,0.18,0.006789759612713731,0.1867897596127137,2,3,default_skippy__low_load__seed_2,default_skippy,low_load,batch-exp-python-pi,server_10,16
2026-07-06 22:43:32.286536,0.18,0.06683991025035596,0.24683991025035595,2,3,default_skippy__low_load__seed_2,default_skippy,low_load,batch-exp-python-pi,server_10,17
2026-07-06 22:43:32.286563,0.18,0.058877599125481864,0.23887759912548184,2,3,default_skippy__low_load__seed_2,default_skippy,low_load,batch-exp-python-pi,server_10,18
2026-07-06 22:43:32.286589,0.18,0.05357843211521767,0.23357843211521767,2,3,default_skippy__low_load__seed_2,default_skippy,low_load,batch-exp-python-pi,server_10,19
2026-07-06 22:43:32.286647,0.18,0.024650916607131538,0.20465091660713153,2,3,default_skippy__low_load__seed_2,default_skippy,low_load,batch-exp-python-pi,server_10,20
2026-07-06 22:43:32.286674,0.18,0.048475533254276996,0.228475533254277,2,3,default_skippy__low_load__seed_2,default_skippy,low_load,batch-exp-python-pi,server_10,21
2026-07-06 22:43:32.286700,0.18,0.04854413869126703,0.22854413869126702,2,3,default_skippy__low_load__seed_2,default_skippy,low_load,batch-exp-python-pi,server_10,22
2026-07-06 22:43:32.286757,0.18,0.04649632136896025,0.22649632136896025,2,3,default_skippy__low_load__seed_2,default_skippy,low_load,batch-exp-python-pi,server_10,23
2026-07-06 22:43:32.286786,0.18,0.012670629620384446,0.19267062962038445,2,3,default_skippy__low_load__seed_2,default_skippy,low_load,batch-exp-python-pi,server_10,24
