time,sample_id,duration,function_name,request_id,node_name,replica_id
2026-07-07 13:53:37.571007,1,0.08,trace-fast-python-pi,1,server_0,2033291479760
2026-07-07 13:53:37.571090,2,0.1,trace-fast-python-pi,2,server_0,2033291479760
2026-07-07 13:53:37.571161,3,0.09,trace-fast-python-pi,3,server_0,2033291479760
2026-07-07 13:53:37.571229,4,0.11,trace-fast-python-pi,4,server_0,2033291479760
2026-07-07 13:53:37.571298,5,0.1,trace-fast-python-pi,5,server_0,2033291479760
2026-07-07 13:53:37.571362,6,0.12,trace-fast-python-pi,6,server_0,2033291479760
2026-07-07 13:53:37.571426,7,0.09,trace-fast-python-pi,7,server_0,2033291479760
2026-07-07 13:53:37.571527,8,0.1,trace-fast-python-pi,8,server_0,2033291479760
2026-07-07 13:53:37.571594,9,0.13,trace-fast-python-pi,9,server_0,2033291479760
2026-07-07 13:53:37.571651,10,0.09,trace-fast-python-pi,10,server_0,2033291479760
2026-07-07 13:53:37.571722,11,0.11,trace-fast-python-pi,11,server_0,2033291479760
2026-07-07 13:53:37.571785,12,0.1,trace-fast-python-pi,12,server_0,2033291479760
2026-07-07 13:53:37.571847,1,0.08,trace-fast-python-pi,13,server_0,2033291479760
2026-07-07 13:53:37.571910,2,0.1,trace-fast-python-pi,14,server_0,2033291479760
2026-07-07 13:53:37.571972,3,0.09,trace-fast-python-pi,15,server_0,2033291479760
2026-07-07 13:53:37.572065,4,0.11,trace-fast-python-pi,16,server_0,2033291479760
2026-07-07 13:53:37.572128,1,0.45,trace-slow-python-pi,17,server_0,2033291124944
2026-07-07 13:53:37.572181,2,0.52,trace-slow-python-pi,18,server_0,2033291124944
2026-07-07 13:53:37.572233,3,0.48,trace-slow-python-pi,19,server_0,2033291124944
2026-07-07 13:53:37.572298,4,0.6,trace-slow-python-pi,20,server_0,2033291124944
2026-07-07 13:53:37.572396,5,0.55,trace-slow-python-pi,21,server_0,2033291124944
2026-07-07 13:53:37.572458,6,0.5,trace-slow-python-pi,22,server_0,2033291124944
2026-07-07 13:53:37.572522,7,0.58,trace-slow-python-pi,23,server_0,2033291124944
2026-07-07 13:53:37.572587,8,0.62,trace-slow-python-pi,24,server_0,2033291124944
2026-07-07 13:53:37.572649,9,0.47,trace-slow-python-pi,25,server_0,2033291124944
2026-07-07 13:53:37.572745,10,0.53,trace-slow-python-pi,26,server_0,2033291124944
2026-07-07 13:53:37.572799,11,0.57,trace-slow-python-pi,27,server_0,2033291124944
2026-07-07 13:53:37.572887,12,0.49,trace-slow-python-pi,28,server_0,2033291124944
