time,simtime,replica_id,trace_sample_id,trace_duration,function_name,node
2026-07-07 21:17:43.108956,3.625,2154410164976,1,0.08,trace-fast-python-pi,server_0
2026-07-07 21:17:43.109051,3.75,2154410164976,2,0.1,trace-fast-python-pi,server_0
2026-07-07 21:17:43.109159,3.875,2154410164976,3,0.09,trace-fast-python-pi,server_0
2026-07-07 21:17:43.109283,4.0,2154410164976,4,0.11,trace-fast-python-pi,server_0
2026-07-07 21:17:43.109358,4.125,2154410164976,5,0.1,trace-fast-python-pi,server_0
2026-07-07 21:17:43.109438,4.25,2154410164976,6,0.12,trace-fast-python-pi,server_0
2026-07-07 21:17:43.109533,4.375,2154410164976,7,0.09,trace-fast-python-pi,server_0
2026-07-07 21:17:43.109617,4.5,2154410164976,8,0.1,trace-fast-python-pi,server_0
2026-07-07 21:17:43.109699,4.625,2154410164976,9,0.13,trace-fast-python-pi,server_0
2026-07-07 21:17:43.109759,4.75,2154410164976,10,0.09,trace-fast-python-pi,server_0
2026-07-07 21:17:43.109847,4.875,2154410164976,11,0.11,trace-fast-python-pi,server_0
2026-07-07 21:17:43.109955,5.0,2154410164976,12,0.1,trace-fast-python-pi,server_0
2026-07-07 21:17:43.110026,5.125,2154410164976,1,0.08,trace-fast-python-pi,server_0
2026-07-07 21:17:43.110098,5.25,2154410164976,2,0.1,trace-fast-python-pi,server_0
2026-07-07 21:17:43.110165,5.375,2154410164976,3,0.09,trace-fast-python-pi,server_0
2026-07-07 21:17:43.110237,5.5,2154410164976,4,0.11,trace-fast-python-pi,server_0
2026-07-07 21:17:43.110309,5.7,2154409943888,1,0.45,trace-slow-python-pi,server_0
2026-07-07 21:17:43.110396,5.9,2154409943888,2,0.52,trace-slow-python-pi,server_0
2026-07-07 21:17:43.110522,6.1000000000000005,2154409943888,3,0.48,trace-slow-python-pi,server_0
2026-07-07 21:17:43.110654,6.300000000000001,2154409943888,4,0.6,trace-slow-python-pi,server_0
2026-07-07 21:17:43.110746,6.500000000000001,2154409943888,5,0.55,trace-slow-python-pi,server_0
2026-07-07 21:17:43.110829,6.700000000000001,2154409943888,6,0.5,trace-slow-python-pi,server_0
2026-07-07 21:17:43.110909,6.900000000000001,2154409943888,7,0.58,trace-slow-python-pi,server_0
2026-07-07 21:17:43.111028,7.100000000000001,2154409943888,8,0.62,trace-slow-python-pi,server_0
2026-07-07 21:17:43.111100,7.300000000000002,2154409943888,9,0.47,trace-slow-python-pi,server_0
2026-07-07 21:17:43.111173,7.500000000000002,2154409943888,10,0.53,trace-slow-python-pi,server_0
2026-07-07 21:17:43.111239,7.700000000000002,2154409943888,11,0.57,trace-slow-python-pi,server_0
2026-07-07 21:17:43.111339,7.900000000000002,2154409943888,12,0.49,trace-slow-python-pi,server_0
