function_name,invoke_order,sample_id,sample_duration,probe_trace_sample_id,probe_trace_duration,probe_simtime,request_id,node,inv_t_start,inv_t_exec,inv_t_wait,duration_match,probe_sample_match,probe_invocation_match
trace-fast-python-pi,1,1,0.08,1,0.08,3.625,1,server_0,3.625,0.08000000000000007,0.0,True,True,True
trace-fast-python-pi,2,2,0.1,2,0.1,3.75,2,server_0,3.75,0.10000000000000009,0.0,True,True,True
trace-fast-python-pi,3,3,0.09,3,0.09,3.875,3,server_0,3.875,0.08999999999999986,0.0,True,True,True
trace-fast-python-pi,4,4,0.11,4,0.11,4.0,4,server_0,4.0,0.11000000000000032,0.0,True,True,True
trace-fast-python-pi,5,5,0.1,5,0.1,4.125,5,server_0,4.125,0.09999999999999964,0.0,True,True,True
trace-fast-python-pi,6,6,0.12,6,0.12,4.25,6,server_0,4.25,0.1200000000000001,0.0,True,True,True
trace-fast-python-pi,7,7,0.09,7,0.09,4.375,7,server_0,4.375,0.08999999999999986,0.0,True,True,True
trace-fast-python-pi,8,8,0.1,8,0.1,4.5,8,server_0,4.5,0.09999999999999964,0.0,True,True,True
trace-fast-python-pi,9,9,0.13,9,0.13,4.625,9,server_0,4.625,0.1299999999999999,0.0,True,True,True
trace-fast-python-pi,10,10,0.09,10,0.09,4.75,10,server_0,4.75,0.08999999999999986,0.0,True,True,True
trace-fast-python-pi,11,11,0.11,11,0.11,4.875,11,server_0,4.875,0.11000000000000032,0.0,True,True,True
trace-fast-python-pi,12,12,0.1,12,0.1,5.0,12,server_0,5.0,0.09999999999999964,0.0,True,True,True
trace-fast-python-pi,13,1,0.08,1,0.08,5.125,13,server_0,5.125,0.08000000000000007,0.0,True,True,True
trace-fast-python-pi,14,2,0.1,2,0.1,5.25,14,server_0,5.25,0.09999999999999964,0.0,True,True,True
trace-fast-python-pi,15,3,0.09,3,0.09,5.375,15,server_0,5.375,0.08999999999999986,0.0,True,True,True
trace-fast-python-pi,16,4,0.11,4,0.11,5.5,16,server_0,5.5,0.11000000000000032,0.0,True,True,True
trace-slow-python-pi,1,1,0.45,1,0.45,5.7,17,server_0,5.7,0.4500000000000002,0.0,True,True,True
trace-slow-python-pi,2,2,0.52,2,0.52,5.9,18,server_0,5.9,0.5199999999999996,0.0,True,True,True
trace-slow-python-pi,3,3,0.48,3,0.48,6.1000000000000005,19,server_0,6.1000000000000005,0.47999999999999954,0.0,True,True,True
trace-slow-python-pi,4,4,0.6,4,0.6,6.300000000000001,20,server_0,6.300000000000001,0.5999999999999996,0.0,True,True,True
trace-slow-python-pi,5,5,0.55,5,0.55,6.500000000000001,21,server_0,6.500000000000001,0.5499999999999998,0.0,True,True,True
trace-slow-python-pi,6,6,0.5,6,0.5,6.700000000000001,22,server_0,6.700000000000001,0.5,0.0,True,True,True
trace-slow-python-pi,7,7,0.58,7,0.58,6.900000000000001,23,server_0,6.900000000000001,0.5800000000000001,0.0,True,True,True
trace-slow-python-pi,8,8,0.62,8,0.62,7.100000000000001,24,server_0,7.100000000000001,0.6200000000000001,0.0,True,True,True
trace-slow-python-pi,9,9,0.47,9,0.47,7.300000000000002,25,server_0,7.300000000000002,0.46999999999999975,0.0,True,True,True
trace-slow-python-pi,10,10,0.53,10,0.53,7.500000000000002,26,server_0,7.500000000000002,0.5299999999999994,0.0,True,True,True
trace-slow-python-pi,11,11,0.57,11,0.57,7.700000000000002,27,server_0,7.700000000000002,0.5699999999999994,0.0,True,True,True
trace-slow-python-pi,12,12,0.49,12,0.49,7.900000000000002,28,server_0,7.900000000000002,0.4900000000000002,0.0,True,True,True
