time,simtime,replica_id,request_id,expected_t_exec,case_id,policy,workload,function_name,node
2026-07-08 00:36:55.086672,0.625,1911725056320,49,0.25648274175113994,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.086723,0.75,1911725056320,50,0.25582619896474795,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.086763,0.875,1911725056320,51,0.18452410941814468,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.086871,1.0,1911725056320,52,0.1867897596127137,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.086944,1.125,1911725056320,53,0.24683991025035595,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.087000,1.25,1911725056320,54,0.23887759912548184,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.087055,1.375,1911725056320,55,0.23357843211521767,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.087120,1.5,1911725056320,56,0.20465091660713153,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.087178,1.625,1911725056320,57,0.228475533254277,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.087237,1.75,1911725056320,58,0.22854413869126702,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.087293,1.875,1911725056320,59,0.22649632136896025,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.087387,2.0,1911725056320,60,0.19267062962038445,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.087489,2.125,1911725056320,61,0.2144535712233015,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.087575,2.25,1911725051696,62,0.2114825456164297,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.087637,2.375,1911725056320,63,0.23784096649899727,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.087706,2.5,1911725051696,64,0.2595855650359794,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.087764,2.625,1911725056320,65,0.2559516378474595,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.087803,2.75,1911725051696,66,0.22353416379434565,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.087869,2.875,1911725056320,67,0.2155883350980683,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.088005,3.0,1911725051696,68,0.20145925933194625,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.088075,3.125,1911725056320,69,0.1828739463514286,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.088140,3.25,1911725051696,70,0.1821955885672655,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.088210,3.375,1911725056320,71,0.21719150896778497,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
2026-07-08 00:36:55.088290,3.5,1911725051696,72,0.20547721022829418,default_skippy__medium_load__seed_2,default_skippy,medium_load,batch-exp-python-pi,server_1
