policy_name,function_name,request_count,hit_count,avg_latency,total_cold_start_penalty,miss_count,hit_rate
fifo,fft,6,0,1.5799999999999998,8.399999999999999,6,0.0
fifo,img-resize,11,4,0.5890909090909091,5.6000000000000005,7,0.36363636363636365
fifo,json-parse,7,0,0.38999999999999996,2.4499999999999997,7,0.0
fifo,ml-infer,4,0,2.1999999999999997,7.6,4,0.0
fifo,video-transcode,4,0,2.6500000000000004,8.8,4,0.0
lru,fft,6,0,1.5799999999999998,8.399999999999999,6,0.0
lru,img-resize,11,4,0.5890909090909091,5.6000000000000005,7,0.36363636363636365
lru,json-parse,7,0,0.38999999999999996,2.4499999999999997,7,0.0
lru,ml-infer,4,0,2.1999999999999997,7.6,4,0.0
lru,video-transcode,4,0,2.6500000000000004,8.8,4,0.0
utility_aware,fft,6,0,1.5799999999999998,8.399999999999999,6,0.0
utility_aware,img-resize,11,10,0.1527272727272727,0.8,1,0.9090909090909091
utility_aware,json-parse,7,0,0.38999999999999996,2.4499999999999997,7,0.0
utility_aware,ml-infer,4,0,2.1999999999999997,7.6,4,0.0
utility_aware,video-transcode,4,0,2.6500000000000004,8.8,4,0.0
