policy_name,request_id,time,function_name,cache_hit,latency,cold_start_penalty,cache_used_before,cache_used_after,cache_keys_after
fifo,1,0.0,img-resize,False,0.88,0.8,0,1,img-resize
fifo,2,0.2,img-resize,True,0.08,0.0,1,1,img-resize
fifo,3,0.5,json-parse,False,0.38999999999999996,0.35,1,2,img-resize;json-parse
fifo,4,0.9,fft,False,1.5799999999999998,1.4,2,4,fft;img-resize;json-parse
fifo,5,1.1,img-resize,True,0.08,0.0,4,4,fft;img-resize;json-parse
fifo,6,1.4,video-transcode,False,2.6500000000000004,2.2,4,3,video-transcode
fifo,7,1.7,json-parse,False,0.38999999999999996,0.35,3,4,json-parse;video-transcode
fifo,8,2.0,fft,False,1.5799999999999998,1.4,4,3,fft;json-parse
fifo,9,2.2,img-resize,False,0.88,0.8,3,4,fft;img-resize;json-parse
fifo,10,2.5,ml-infer,False,2.1999999999999997,1.9,4,3,img-resize;ml-infer
fifo,11,2.8,json-parse,False,0.38999999999999996,0.35,3,4,img-resize;json-parse;ml-infer
fifo,12,3.1,img-resize,True,0.08,0.0,4,4,img-resize;json-parse;ml-infer
fifo,13,3.3,fft,False,1.5799999999999998,1.4,4,3,fft;json-parse
fifo,14,3.7,video-transcode,False,2.6500000000000004,2.2,3,3,video-transcode
fifo,15,4.0,img-resize,False,0.88,0.8,3,4,img-resize;video-transcode
fifo,16,4.2,json-parse,False,0.38999999999999996,0.35,4,2,img-resize;json-parse
fifo,17,4.5,ml-infer,False,2.1999999999999997,1.9,2,4,img-resize;json-parse;ml-infer
fifo,18,4.8,img-resize,True,0.08,0.0,4,4,img-resize;json-parse;ml-infer
fifo,19,5.1,fft,False,1.5799999999999998,1.4,4,4,fft;ml-infer
fifo,20,5.4,video-transcode,False,2.6500000000000004,2.2,4,3,video-transcode
fifo,21,5.8,json-parse,False,0.38999999999999996,0.35,3,4,json-parse;video-transcode
fifo,22,6.0,img-resize,False,0.88,0.8,4,2,img-resize;json-parse
fifo,23,6.3,ml-infer,False,2.1999999999999997,1.9,2,4,img-resize;json-parse;ml-infer
fifo,24,6.6,fft,False,1.5799999999999998,1.4,4,4,fft;ml-infer
fifo,25,7.0,img-resize,False,0.88,0.8,4,3,fft;img-resize
fifo,26,7.3,json-parse,False,0.38999999999999996,0.35,3,4,fft;img-resize;json-parse
fifo,27,7.6,video-transcode,False,2.6500000000000004,2.2,4,4,json-parse;video-transcode
fifo,28,8.0,img-resize,False,0.88,0.8,4,4,img-resize;video-transcode
fifo,29,8.4,fft,False,1.5799999999999998,1.4,4,3,fft;img-resize
fifo,30,8.8,ml-infer,False,2.1999999999999997,1.9,3,4,fft;ml-infer
fifo,31,9.2,json-parse,False,0.38999999999999996,0.35,4,3,json-parse;ml-infer
fifo,32,9.5,img-resize,False,0.88,0.8,3,4,img-resize;json-parse;ml-infer
lru,1,0.0,img-resize,False,0.88,0.8,0,1,img-resize
lru,2,0.2,img-resize,True,0.08,0.0,1,1,img-resize
lru,3,0.5,json-parse,False,0.38999999999999996,0.35,1,2,img-resize;json-parse
lru,4,0.9,fft,False,1.5799999999999998,1.4,2,4,fft;img-resize;json-parse
lru,5,1.1,img-resize,True,0.08,0.0,4,4,fft;img-resize;json-parse
lru,6,1.4,video-transcode,False,2.6500000000000004,2.2,4,4,img-resize;video-transcode
lru,7,1.7,json-parse,False,0.38999999999999996,0.35,4,4,json-parse;video-transcode
lru,8,2.0,fft,False,1.5799999999999998,1.4,4,3,fft;json-parse
lru,9,2.2,img-resize,False,0.88,0.8,3,4,fft;img-resize;json-parse
lru,10,2.5,ml-infer,False,2.1999999999999997,1.9,4,3,img-resize;ml-infer
