time,arrival_time,scenario,function_name,request_id
2026-07-07 17:27:28.562759,0.0,cache_blind,img-resize,1
2026-07-07 17:27:28.562886,0.2,cache_blind,fft,2
2026-07-07 17:27:28.563066,0.4,cache_blind,img-resize,3
2026-07-07 17:27:28.563186,0.6,cache_blind,ml-infer,4
2026-07-07 17:27:28.563352,0.8,cache_blind,json-parse,5
2026-07-07 17:27:28.563425,1.0,cache_blind,fft,6
2026-07-07 17:27:28.563602,1.2,cache_blind,img-resize,7
2026-07-07 17:27:28.563796,1.4,cache_blind,ml-infer,8
2026-07-07 17:27:28.564055,1.6,cache_blind,json-parse,9
2026-07-07 17:27:28.564177,1.8,cache_blind,img-resize,10
