time,simtime,feasible_nodes_count,all_nodes_count,phase,pod_name,selected_node,needed_images_count
2026-07-11 14:31:30.341688,0.0,1,4,before,pod-skippy-large-1,,
2026-07-11 14:31:30.342687,0.0,1,4,after,pod-skippy-large-1,server_0,1.0
2026-07-11 14:31:30.343683,0.0009980201721191406,2,4,before,pod-skippy-medium-1,,
2026-07-11 14:31:30.343683,0.0009980201721191406,2,4,after,pod-skippy-medium-1,server_1,1.0
2026-07-11 14:31:30.344680,0.0009980201721191406,1,4,before,pod-skippy-medium-2,,
2026-07-11 14:31:30.344680,0.0009980201721191406,1,4,after,pod-skippy-medium-2,server_2,1.0
2026-07-11 14:31:30.344680,0.001995563507080078,4,4,before,pod-skippy-small-1,,
2026-07-11 14:31:30.344680,0.001995563507080078,4,4,after,pod-skippy-small-1,server_3,1.0
2026-07-11 14:31:30.345678,0.001995563507080078,4,4,before,pod-skippy-small-2,,
2026-07-11 14:31:30.345678,0.001995563507080078,4,4,after,pod-skippy-small-2,server_3,0.0
