time,candidate_index,cpu_capacity,cpu_allocatable,mem_capacity,mem_allocatable,passed_predicates,is_storage_node,pod_name,node_name,arch,node_type
2026-07-06 21:27:31.904491,0,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-1,rpi3_0,arm32,sbc
2026-07-06 21:27:31.904497,1,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-1,rpi3_1,arm32,sbc
2026-07-06 21:27:31.904501,2,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-1,rpi3_2,arm32,sbc
2026-07-06 21:27:31.904503,3,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-1,rpi3_3,arm32,sbc
2026-07-06 21:27:31.904506,4,4000,4000,17179869184,17179869184,True,False,pod-skippy-small-1,nuc_0,x86,sffc
2026-07-06 21:27:31.904508,5,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-1,tx2_0,aarch64,embai
2026-07-06 21:27:31.904513,6,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-1,tx2_1,aarch64,embai
2026-07-06 21:27:31.904517,7,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-1,tx2_2,aarch64,embai
2026-07-06 21:27:31.904519,8,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-1,tx2_3,aarch64,embai
2026-07-06 21:27:31.904522,9,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-1,rpi3_4,arm32,sbc
2026-07-06 21:27:31.904524,10,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-1,rpi3_5,arm32,sbc
2026-07-06 21:27:31.904526,11,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-1,rpi3_6,arm32,sbc
2026-07-06 21:27:31.904529,12,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-1,rpi3_7,arm32,sbc
2026-07-06 21:27:31.904531,13,4000,4000,17179869184,17179869184,True,False,pod-skippy-small-1,nuc_1,x86,sffc
2026-07-06 21:27:31.904533,14,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-1,tx2_4,aarch64,embai
2026-07-06 21:27:31.904535,15,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-1,tx2_5,aarch64,embai
2026-07-06 21:27:31.904538,16,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-1,tx2_6,aarch64,embai
2026-07-06 21:27:31.904540,17,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-1,tx2_7,aarch64,embai
2026-07-06 21:27:31.904542,18,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-1,rpi3_8,arm32,sbc
2026-07-06 21:27:31.904545,19,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-1,rpi3_9,arm32,sbc
2026-07-06 21:27:31.904547,20,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-1,rpi3_10,arm32,sbc
2026-07-06 21:27:31.904549,21,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-1,rpi3_11,arm32,sbc
2026-07-06 21:27:31.904551,22,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-1,rpi3_12,arm32,sbc
2026-07-06 21:27:31.904555,23,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-1,rpi3_13,arm32,sbc
2026-07-06 21:27:31.904558,24,4000,4000,17179869184,17179869184,True,False,pod-skippy-small-1,nuc_2,x86,sffc
2026-07-06 21:27:31.904560,25,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-1,tx2_8,aarch64,embai
2026-07-06 21:27:31.904563,26,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-1,tx2_9,aarch64,embai
2026-07-06 21:27:31.904567,27,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-1,tx2_10,aarch64,embai
2026-07-06 21:27:31.904569,28,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-1,tx2_11,aarch64,embai
2026-07-06 21:27:31.904572,29,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-1,tx2_12,aarch64,embai
2026-07-06 21:27:31.913286,0,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-2,rpi3_0,arm32,sbc
2026-07-06 21:27:31.913293,1,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-2,rpi3_1,arm32,sbc
2026-07-06 21:27:31.913297,2,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-2,rpi3_2,arm32,sbc
2026-07-06 21:27:31.913301,3,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-2,rpi3_3,arm32,sbc
2026-07-06 21:27:31.913305,4,4000,4000,17179869184,17179869184,True,False,pod-skippy-small-2,nuc_0,x86,sffc
2026-07-06 21:27:31.913308,5,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-2,tx2_0,aarch64,embai
2026-07-06 21:27:31.913312,6,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-2,tx2_1,aarch64,embai
2026-07-06 21:27:31.913329,7,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-2,tx2_2,aarch64,embai
2026-07-06 21:27:31.913335,8,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-2,tx2_3,aarch64,embai
2026-07-06 21:27:31.913340,9,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-2,rpi3_4,arm32,sbc
2026-07-06 21:27:31.913344,10,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-2,rpi3_5,arm32,sbc
2026-07-06 21:27:31.913348,11,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-2,rpi3_6,arm32,sbc
2026-07-06 21:27:31.913352,12,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-2,rpi3_7,arm32,sbc
2026-07-06 21:27:31.913356,13,4000,4000,17179869184,17179869184,True,False,pod-skippy-small-2,nuc_1,x86,sffc
2026-07-06 21:27:31.913364,14,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-2,tx2_4,aarch64,embai
2026-07-06 21:27:31.913369,15,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-2,tx2_5,aarch64,embai
2026-07-06 21:27:31.913373,16,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-2,tx2_6,aarch64,embai
2026-07-06 21:27:31.913377,17,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-2,tx2_7,aarch64,embai
2026-07-06 21:27:31.913380,18,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-2,rpi3_8,arm32,sbc
2026-07-06 21:27:31.913384,19,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-2,rpi3_9,arm32,sbc
2026-07-06 21:27:31.913387,20,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-2,rpi3_10,arm32,sbc
2026-07-06 21:27:31.913391,21,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-2,rpi3_11,arm32,sbc
2026-07-06 21:27:31.913395,22,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-2,rpi3_12,arm32,sbc
2026-07-06 21:27:31.913399,23,4000,4000,1023012864,1023012864,True,False,pod-skippy-small-2,rpi3_13,arm32,sbc
2026-07-06 21:27:31.913403,24,4000,4000,17179869184,17179869184,True,False,pod-skippy-small-2,nuc_2,x86,sffc
2026-07-06 21:27:31.913410,25,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-2,tx2_8,aarch64,embai
2026-07-06 21:27:31.913414,26,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-2,tx2_9,aarch64,embai
2026-07-06 21:27:31.913416,27,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-2,tx2_10,aarch64,embai
2026-07-06 21:27:31.913419,28,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-2,tx2_11,aarch64,embai
2026-07-06 21:27:31.913422,29,4000,4000,8240386048,8240386048,True,False,pod-skippy-small-2,tx2_12,aarch64,embai
2026-07-06 21:27:31.914636,0,4000,4000,1023012864,1023012864,True,False,pod-skippy-medium-1,rpi3_0,arm32,sbc
2026-07-06 21:27:31.914641,1,4000,4000,1023012864,1023012864,True,False,pod-skippy-medium-1,rpi3_1,arm32,sbc
2026-07-06 21:27:31.914644,2,4000,4000,1023012864,1023012864,True,False,pod-skippy-medium-1,rpi3_2,arm32,sbc
2026-07-06 21:27:31.914646,3,4000,4000,1023012864,1023012864,True,False,pod-skippy-medium-1,rpi3_3,arm32,sbc
2026-07-06 21:27:31.914652,4,4000,4000,17179869184,17179869184,True,False,pod-skippy-medium-1,nuc_0,x86,sffc
2026-07-06 21:27:31.914656,5,4000,4000,8240386048,8240386048,True,False,pod-skippy-medium-1,tx2_0,aarch64,embai
2026-07-06 21:27:31.914658,6,4000,4000,8240386048,8240386048,True,False,pod-skippy-medium-1,tx2_1,aarch64,embai
2026-07-06 21:27:31.914660,7,4000,4000,8240386048,8240386048,True,False,pod-skippy-medium-1,tx2_2,aarch64,embai
2026-07-06 21:27:31.914663,8,4000,4000,8240386048,8240386048,True,False,pod-skippy-medium-1,tx2_3,aarch64,embai
2026-07-06 21:27:31.914665,9,4000,4000,1023012864,1023012864,True,False,pod-skippy-medium-1,rpi3_4,arm32,sbc
2026-07-06 21:27:31.914667,10,4000,4000,1023012864,1023012864,True,False,pod-skippy-medium-1,rpi3_5,arm32,sbc
2026-07-06 21:27:31.914669,11,4000,4000,1023012864,1023012864,True,False,pod-skippy-medium-1,rpi3_6,arm32,sbc
2026-07-06 21:27:31.914671,12,4000,4000,1023012864,1023012864,True,False,pod-skippy-medium-1,rpi3_7,arm32,sbc
2026-07-06 21:27:31.914674,13,4000,4000,17179869184,17179869184,True,False,pod-skippy-medium-1,nuc_1,x86,sffc
2026-07-06 21:27:31.914676,14,4000,4000,8240386048,8240386048,True,False,pod-skippy-medium-1,tx2_4,aarch64,embai
2026-07-06 21:27:31.914678,15,4000,4000,8240386048,8240386048,True,False,pod-skippy-medium-1,tx2_5,aarch64,embai
2026-07-06 21:27:31.914681,16,4000,4000,8240386048,8240386048,True,False,pod-skippy-medium-1,tx2_6,aarch64,embai
2026-07-06 21:27:31.914683,17,4000,4000,8240386048,8240386048,True,False,pod-skippy-medium-1,tx2_7,aarch64,embai
2026-07-06 21:27:31.914685,18,4000,4000,1023012864,1023012864,True,False,pod-skippy-medium-1,rpi3_8,arm32,sbc
