time,cpu,memory,cpu_util,mem_util,node,replica_id
2026-07-11 14:32:09.718318,3000.0,301989888,0.75,0.140625,server_0,2778815755744
2026-07-11 14:32:09.718318,4000.0,402653184,1.0,0.1875,server_0,2778815751040
2026-07-11 14:32:09.721310,10000.0,1006632960,2.5,0.46875,server_0,2778815755744
2026-07-11 14:32:09.721310,10000.0,1006632960,2.5,0.46875,server_0,2778815751040
2026-07-11 14:32:09.724302,14000.0,1409286144,3.5,0.65625,server_0,2778815755744
2026-07-11 14:32:09.724302,14000.0,1409286144,3.5,0.65625,server_0,2778815751040
2026-07-11 14:32:09.724302,10000.0,1006632960,2.5,0.46875,server_0,2778815755744
2026-07-11 14:32:09.724302,11000.0,1107296256,2.75,0.515625,server_0,2778815751040
2026-07-11 14:32:09.724302,7000.0,704643072,1.75,0.328125,server_0,2778815755744
2026-07-11 14:32:09.724302,8000.0,805306368,2.0,0.375,server_0,2778815751040
2026-07-11 14:32:09.724302,4000.0,402653184,1.0,0.1875,server_0,2778815755744
2026-07-11 14:32:09.724302,5000.0,503316480,1.25,0.234375,server_0,2778815751040
2026-07-11 14:32:09.725300,0.0,0,0.0,0.0,server_0,2778815755744
2026-07-11 14:32:09.725300,1000.0,100663296,0.25,0.046875,server_0,2778815751040
