function_name,request_id,node_name,replica_id,active_requests_before,degradation_factor,probe_final_duration,dispatch_simtime,dispatch_final_duration,inv_t_start,inv_t_exec,inv_t_wait,simtime_match,node_match,duration_match
degradation-python-pi,1,server_0,1429163184912,0,1.0,0.4,0.5555555555555556,0.4,0.5555555555555556,0.4,0.0,True,True,True
degradation-python-pi,2,server_0,1429163188752,1,1.35,0.54,0.6111111111111112,0.54,0.6111111111111112,0.54,0.0,True,True,True
degradation-python-pi,3,server_0,1429163184912,2,1.7,0.68,0.6666666666666667,0.68,0.6666666666666667,0.6799999999999999,0.0,True,True,True
degradation-python-pi,4,server_0,1429163188752,3,2.05,0.82,0.7222222222222223,0.82,0.7222222222222223,0.8199999999999998,0.0,True,True,True
degradation-python-pi,5,server_0,1429163184912,4,2.4,0.96,0.7777777777777779,0.96,0.7777777777777779,0.96,0.0,True,True,True
degradation-python-pi,6,server_0,1429163188752,5,2.75,1.1,0.8333333333333335,1.1,0.8333333333333335,1.1,0.0,True,True,True
degradation-python-pi,7,server_0,1429163184912,6,3.0999999999999996,1.24,0.8888888888888891,1.24,0.8888888888888891,1.24,0.0,True,True,True
degradation-python-pi,8,server_0,1429163188752,7,3.4499999999999997,1.38,0.9444444444444446,1.38,0.9444444444444446,1.38,0.0,True,True,True
degradation-python-pi,9,server_0,1429163184912,7,3.4499999999999997,1.38,1.0000000000000002,1.38,1.0000000000000002,1.3799999999999997,0.0,True,True,True
degradation-python-pi,10,server_0,1429163188752,8,3.8,1.52,1.0555555555555558,1.52,1.0555555555555558,1.52,0.0,True,True,True
degradation-python-pi,11,server_0,1429163184912,9,4.15,1.6600000000000001,1.1111111111111114,1.6600000000000001,1.1111111111111114,1.6600000000000004,0.0,True,True,True
degradation-python-pi,12,server_0,1429163188752,9,4.15,1.6600000000000001,1.166666666666667,1.6600000000000001,1.166666666666667,1.6600000000000001,0.0,True,True,True
degradation-python-pi,13,server_0,1429163184912,10,4.5,1.8,1.2222222222222225,1.8,1.2222222222222225,1.8,0.0,True,True,True
degradation-python-pi,14,server_0,1429163188752,11,4.85,1.94,1.2777777777777781,1.94,1.2777777777777781,1.94,0.0,True,True,True
degradation-python-pi,15,server_0,1429163184912,12,5.199999999999999,2.0799999999999996,1.3333333333333337,2.0799999999999996,1.3333333333333337,2.079999999999999,0.0,True,True,True
degradation-python-pi,16,server_0,1429163188752,12,5.199999999999999,2.0799999999999996,1.3888888888888893,2.0799999999999996,1.3888888888888893,2.0799999999999996,0.0,True,True,True
degradation-python-pi,17,server_0,1429163184912,13,5.55,2.22,1.4444444444444449,2.22,1.4444444444444449,2.2200000000000006,0.0,True,True,True
degradation-python-pi,18,server_0,1429163188752,14,5.8999999999999995,2.36,1.5000000000000004,2.36,1.5000000000000004,2.36,0.0,True,True,True
degradation-python-pi,19,server_0,1429163184912,14,5.8999999999999995,2.36,1.555555555555556,2.36,1.555555555555556,2.3599999999999994,0.0,True,True,True
degradation-python-pi,20,server_0,1429163188752,15,6.25,2.5,1.6111111111111116,2.5,1.6111111111111116,2.5,0.0,True,True,True
