time,simtime,replica_id,request_id,active_requests_before,degradation_factor,final_duration,function_name,node
2026-07-07 21:43:53.947280,0.5555555555555556,1429163184912,1,0,1.0,0.4,degradation-python-pi,server_0
2026-07-07 21:43:53.947417,0.6111111111111112,1429163188752,2,1,1.35,0.54,degradation-python-pi,server_0
2026-07-07 21:43:53.947504,0.6666666666666667,1429163184912,3,2,1.7,0.68,degradation-python-pi,server_0
2026-07-07 21:43:53.947591,0.7222222222222223,1429163188752,4,3,2.05,0.82,degradation-python-pi,server_0
2026-07-07 21:43:53.947674,0.7777777777777779,1429163184912,5,4,2.4,0.96,degradation-python-pi,server_0
2026-07-07 21:43:53.947758,0.8333333333333335,1429163188752,6,5,2.75,1.1,degradation-python-pi,server_0
2026-07-07 21:43:53.947858,0.8888888888888891,1429163184912,7,6,3.0999999999999996,1.24,degradation-python-pi,server_0
2026-07-07 21:43:53.947952,0.9444444444444446,1429163188752,8,7,3.4499999999999997,1.38,degradation-python-pi,server_0
2026-07-07 21:43:53.948214,1.0000000000000002,1429163184912,9,7,3.4499999999999997,1.38,degradation-python-pi,server_0
2026-07-07 21:43:53.948333,1.0555555555555558,1429163188752,10,8,3.8,1.52,degradation-python-pi,server_0
2026-07-07 21:43:53.948445,1.1111111111111114,1429163184912,11,9,4.15,1.6600000000000001,degradation-python-pi,server_0
2026-07-07 21:43:53.948582,1.166666666666667,1429163188752,12,9,4.15,1.6600000000000001,degradation-python-pi,server_0
2026-07-07 21:43:53.948700,1.2222222222222225,1429163184912,13,10,4.5,1.8,degradation-python-pi,server_0
2026-07-07 21:43:53.948821,1.2777777777777781,1429163188752,14,11,4.85,1.94,degradation-python-pi,server_0
2026-07-07 21:43:53.948959,1.3333333333333337,1429163184912,15,12,5.199999999999999,2.0799999999999996,degradation-python-pi,server_0
2026-07-07 21:43:53.949141,1.3888888888888893,1429163188752,16,12,5.199999999999999,2.0799999999999996,degradation-python-pi,server_0
2026-07-07 21:43:53.949270,1.4444444444444449,1429163184912,17,13,5.55,2.22,degradation-python-pi,server_0
2026-07-07 21:43:53.949420,1.5000000000000004,1429163188752,18,14,5.8999999999999995,2.36,degradation-python-pi,server_0
2026-07-07 21:43:53.949571,1.555555555555556,1429163184912,19,14,5.8999999999999995,2.36,degradation-python-pi,server_0
2026-07-07 21:43:53.949695,1.6111111111111116,1429163188752,20,15,6.25,2.5,degradation-python-pi,server_0
2026-07-07 21:43:53.949828,1.6666666666666672,1429163184912,21,16,6.6,2.64,degradation-python-pi,server_0
2026-07-07 21:43:53.949953,1.7222222222222228,1429163188752,22,17,6.949999999999999,2.78,degradation-python-pi,server_0
2026-07-07 21:43:53.950138,1.7777777777777783,1429163184912,23,17,6.949999999999999,2.78,degradation-python-pi,server_0
2026-07-07 21:43:53.950338,1.833333333333334,1429163188752,24,18,7.3,2.92,degradation-python-pi,server_0
2026-07-07 21:43:53.950478,1.8888888888888895,1429163184912,25,19,7.6499999999999995,3.06,degradation-python-pi,server_0
2026-07-07 21:43:53.950635,1.944444444444445,1429163188752,26,19,7.6499999999999995,3.06,degradation-python-pi,server_0
2026-07-07 21:43:53.950978,2.0000000000000004,1429163184912,27,20,8.0,3.2,degradation-python-pi,server_0
2026-07-07 21:43:53.951527,2.055555555555556,1429163188752,28,21,8.35,3.34,degradation-python-pi,server_0
2026-07-07 21:43:53.952295,2.111111111111111,1429163184912,29,22,8.7,3.48,degradation-python-pi,server_0
2026-07-07 21:43:53.952561,2.1666666666666665,1429163188752,30,22,8.7,3.48,degradation-python-pi,server_0
2026-07-07 21:43:53.952746,2.222222222222222,1429163184912,31,23,9.049999999999999,3.6199999999999997,degradation-python-pi,server_0
2026-07-07 21:43:53.952914,2.2777777777777772,1429163188752,32,24,9.399999999999999,3.76,degradation-python-pi,server_0
2026-07-07 21:43:53.953144,2.3333333333333326,1429163184912,33,24,9.399999999999999,3.76,degradation-python-pi,server_0
2026-07-07 21:43:53.953363,2.388888888888888,1429163188752,34,24,9.399999999999999,3.76,degradation-python-pi,server_0
2026-07-07 21:43:53.953507,2.4444444444444433,1429163184912,35,25,9.75,3.9000000000000004,degradation-python-pi,server_0
2026-07-07 21:43:53.953638,2.4999999999999987,1429163188752,36,26,10.1,4.04,degradation-python-pi,server_0
2026-07-07 21:43:53.953759,2.555555555555554,1429163184912,37,27,10.45,4.18,degradation-python-pi,server_0
2026-07-07 21:43:53.953910,2.6111111111111094,1429163188752,38,27,10.45,4.18,degradation-python-pi,server_0
2026-07-07 21:43:53.954045,2.6666666666666647,1429163184912,39,28,10.799999999999999,4.319999999999999,degradation-python-pi,server_0
2026-07-07 21:43:53.954345,2.72222222222222,1429163188752,40,29,11.149999999999999,4.46,degradation-python-pi,server_0
