time,value,function_name,node_name,replica_id
2026-07-11 14:32:09.715326,deploy,degradation-python-pi,server_0,2778815754208
2026-07-11 14:32:09.716323,deploy,degradation-python-pi,server_0,2778815755744
2026-07-11 14:32:09.716323,startup,degradation-python-pi,server_0,2778815755744
2026-07-11 14:32:09.716323,deploy,degradation-python-pi,server_0,2778815751040
2026-07-11 14:32:09.716323,startup,degradation-python-pi,server_0,2778815751040
2026-07-11 14:32:09.716323,setup,degradation-python-pi,server_0,2778815755744
2026-07-11 14:32:09.716323,setup,degradation-python-pi,server_0,2778815751040
2026-07-11 14:32:09.716323,finish,degradation-python-pi,server_0,2778815755744
2026-07-11 14:32:09.716323,finish,degradation-python-pi,server_0,2778815751040
2026-07-11 14:32:09.723305,startup,degradation-python-pi,server_0,2778815754208
2026-07-11 14:32:09.724302,setup,degradation-python-pi,server_0,2778815754208
2026-07-11 14:32:09.724302,finish,degradation-python-pi,server_0,2778815754208
