function_name,node_name,request_id,probe_duration,probe_jitter,inv_t_start,inv_t_exec,inv_replica_id,duration_match
batch-exp-python-pi,server_0,73,0.19074913952899208,0.010749139528992098,0.8333333333333333,0.19074913952899197,3037142319184,True
batch-exp-python-pi,server_0,74,0.2477946989549786,0.06779469895497861,1.1666666666666665,0.24779469895497863,3037142319184,True
batch-exp-python-pi,server_0,75,0.24110196951812912,0.06110196951812912,1.4999999999999998,0.24110196951812912,3037142319184,True
batch-exp-python-pi,server_0,76,0.20040552205915374,0.020405522059153736,1.833333333333333,0.20040552205915363,3037142319184,True
batch-exp-python-pi,server_0,77,0.21963480696735527,0.039634806967355274,2.1666666666666665,0.21963480696735527,3037142319184,True
batch-exp-python-pi,server_0,78,0.21595928518309904,0.03595928518309905,2.5,0.21595928518309915,3037140695888,True
batch-exp-python-pi,server_0,79,0.23212743781782103,0.05212743781782104,2.8333333333333335,0.23212743781782086,3037142319184,True
batch-exp-python-pi,server_0,80,0.24309786809084105,0.06309786809084106,3.166666666666667,0.2430978680908411,3037140695888,True
batch-exp-python-pi,server_0,81,0.1875087669419388,0.007508766941938792,3.5000000000000004,0.18750876694193863,3037142319184,True
batch-exp-python-pi,server_0,82,0.1822677981217605,0.002267798121760505,3.833333333333334,0.1822677981217602,3037140695888,True
batch-exp-python-pi,server_0,83,0.24686120831358957,0.06686120831358958,4.166666666666667,0.2468612083135895,3037142319184,True
batch-exp-python-pi,server_0,84,0.21462136543240426,0.03462136543240427,4.5,0.2146213654324045,3037140695888,True
