policy_name,request_id,function_name,cache_hit,decision,expected_decision,keep_alive_window,match,detail
fixed_keep_alive,1,img-resize,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,2,json-parse,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,3,img-resize,True,extend_keep_alive,extend_keep_alive,2.0,True,ok
fixed_keep_alive,4,fft,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,5,img-resize,True,extend_keep_alive,extend_keep_alive,2.0,True,ok
fixed_keep_alive,6,video-transcode,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,7,json-parse,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,8,fft,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,9,img-resize,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,10,ml-infer,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,11,json-parse,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,12,img-resize,True,extend_keep_alive,extend_keep_alive,2.0,True,ok
fixed_keep_alive,13,thumbnail,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,14,fft,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,15,video-transcode,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,16,img-resize,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,17,json-parse,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,18,ml-infer,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,19,img-resize,True,extend_keep_alive,extend_keep_alive,2.0,True,ok
fixed_keep_alive,20,fft,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,21,thumbnail,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,22,video-transcode,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,23,json-parse,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,24,img-resize,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,25,ml-infer,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,26,fft,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,27,img-resize,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,28,json-parse,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,29,thumbnail,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
fixed_keep_alive,30,video-transcode,False,keep_after_cold_start,keep_after_cold_start,2.0,True,ok
cold_start_aware,1,img-resize,False,keep_after_cold_start,keep_after_cold_start,1.86,True,ok
cold_start_aware,2,json-parse,False,keep_after_cold_start,keep_after_cold_start,1.32,True,ok
cold_start_aware,3,img-resize,True,extend_keep_alive,extend_keep_alive,2.2600000000000002,True,ok
cold_start_aware,4,fft,False,keep_after_cold_start,keep_after_cold_start,2.28,True,ok
cold_start_aware,5,img-resize,True,extend_keep_alive,extend_keep_alive,2.66,True,ok
cold_start_aware,6,video-transcode,False,keep_after_cold_start,keep_after_cold_start,2.9400000000000004,True,ok
cold_start_aware,7,json-parse,False,keep_after_cold_start,keep_after_cold_start,1.72,True,ok
cold_start_aware,8,fft,False,keep_after_cold_start,keep_after_cold_start,2.68,True,ok
cold_start_aware,9,img-resize,True,extend_keep_alive,extend_keep_alive,3.0600000000000005,True,ok
cold_start_aware,10,ml-infer,False,keep_after_cold_start,keep_after_cold_start,2.88,True,ok
cold_start_aware,11,json-parse,False,keep_after_cold_start,keep_after_cold_start,2.12,True,ok
cold_start_aware,12,img-resize,True,extend_keep_alive,extend_keep_alive,3.46,True,ok
cold_start_aware,13,thumbnail,False,keep_after_cold_start,keep_after_cold_start,1.4999999999999998,True,ok
cold_start_aware,14,fft,False,keep_after_cold_start,keep_after_cold_start,3.0799999999999996,True,ok
cold_start_aware,15,video-transcode,False,keep_after_cold_start,keep_after_cold_start,3.3400000000000003,True,ok
cold_start_aware,16,img-resize,True,extend_keep_alive,extend_keep_alive,3.46,True,ok
cold_start_aware,17,json-parse,False,keep_after_cold_start,keep_after_cold_start,2.12,True,ok
cold_start_aware,18,ml-infer,False,keep_after_cold_start,keep_after_cold_start,3.28,True,ok
cold_start_aware,19,img-resize,True,extend_keep_alive,extend_keep_alive,3.0600000000000005,True,ok
cold_start_aware,20,fft,False,keep_after_cold_start,keep_after_cold_start,3.0799999999999996,True,ok
cold_start_aware,21,thumbnail,False,keep_after_cold_start,keep_after_cold_start,1.9000000000000001,True,ok
cold_start_aware,22,video-transcode,False,keep_after_cold_start,keep_after_cold_start,3.3400000000000003,True,ok
cold_start_aware,23,json-parse,False,keep_after_cold_start,keep_after_cold_start,1.72,True,ok
cold_start_aware,24,img-resize,True,extend_keep_alive,extend_keep_alive,2.66,True,ok
cold_start_aware,25,ml-infer,False,keep_after_cold_start,keep_after_cold_start,3.28,True,ok
cold_start_aware,26,fft,False,keep_after_cold_start,keep_after_cold_start,2.68,True,ok
cold_start_aware,27,img-resize,False,keep_after_cold_start,keep_after_cold_start,2.66,True,ok
cold_start_aware,28,json-parse,False,keep_after_cold_start,keep_after_cold_start,1.72,True,ok
cold_start_aware,29,thumbnail,False,keep_after_cold_start,keep_after_cold_start,1.9000000000000001,True,ok
cold_start_aware,30,video-transcode,False,keep_after_cold_start,keep_after_cold_start,3.3400000000000003,True,ok
