policy_name,time,request_id,function_name,decision,reason,utility,keep_alive_window,expire_time,cache_used,cache_capacity,warm_keys
fixed_keep_alive,0.0,1,img-resize,keep_after_cold_start,cold_miss,0.8,2.0,2.0,1,4,img-resize
fixed_keep_alive,0.2,2,json-parse,keep_after_cold_start,cold_miss,0.35,2.0,2.2,2,4,img-resize;json-parse
fixed_keep_alive,0.4,3,img-resize,extend_keep_alive,warm_hit,0.8,2.0,2.4,2,4,img-resize;json-parse
fixed_keep_alive,0.7,4,fft,keep_after_cold_start,cold_miss,0.7,2.0,2.7,4,4,fft;img-resize;json-parse
fixed_keep_alive,1.0,5,img-resize,extend_keep_alive,warm_hit,0.8,2.0,3.0,4,4,fft;img-resize;json-parse
fixed_keep_alive,1.4,6,video-transcode,keep_after_cold_start,cold_miss,0.7333333333333334,2.0,3.4,4,4,img-resize;video-transcode
fixed_keep_alive,1.7,7,json-parse,keep_after_cold_start,cold_miss,0.35,2.0,3.7,4,4,json-parse;video-transcode
fixed_keep_alive,2.0,8,fft,keep_after_cold_start,cold_miss,0.7,2.0,4.0,3,4,fft;json-parse
fixed_keep_alive,2.3,9,img-resize,keep_after_cold_start,cold_miss,0.8,2.0,4.3,4,4,fft;img-resize;json-parse
fixed_keep_alive,2.8,10,ml-infer,keep_after_cold_start,cold_miss,0.95,2.0,4.8,3,4,img-resize;ml-infer
fixed_keep_alive,3.1,11,json-parse,keep_after_cold_start,cold_miss,0.35,2.0,5.1,4,4,img-resize;json-parse;ml-infer
fixed_keep_alive,3.4,12,img-resize,extend_keep_alive,warm_hit,0.8,2.0,5.4,4,4,img-resize;json-parse;ml-infer
fixed_keep_alive,3.8,13,thumbnail,keep_after_cold_start,cold_miss,0.5,2.0,5.8,3,4,img-resize;json-parse;thumbnail
fixed_keep_alive,4.2,14,fft,keep_after_cold_start,cold_miss,0.7,2.0,6.2,4,4,fft;img-resize;thumbnail
fixed_keep_alive,4.7,15,video-transcode,keep_after_cold_start,cold_miss,0.7333333333333334,2.0,6.7,3,4,video-transcode
fixed_keep_alive,5.1,16,img-resize,keep_after_cold_start,cold_miss,0.8,2.0,7.1,4,4,img-resize;video-transcode
fixed_keep_alive,5.5,17,json-parse,keep_after_cold_start,cold_miss,0.35,2.0,7.5,2,4,img-resize;json-parse
fixed_keep_alive,5.9,18,ml-infer,keep_after_cold_start,cold_miss,0.95,2.0,7.9,4,4,img-resize;json-parse;ml-infer
fixed_keep_alive,6.2,19,img-resize,extend_keep_alive,warm_hit,0.8,2.0,8.2,4,4,img-resize;json-parse;ml-infer
fixed_keep_alive,6.8,20,fft,keep_after_cold_start,cold_miss,0.7,2.0,8.8,3,4,fft;img-resize
fixed_keep_alive,7.4,21,thumbnail,keep_after_cold_start,cold_miss,0.5,2.0,9.4,4,4,fft;img-resize;thumbnail
fixed_keep_alive,8.0,22,video-transcode,keep_after_cold_start,cold_miss,0.7333333333333334,2.0,10.0,4,4,thumbnail;video-transcode
fixed_keep_alive,8.6,23,json-parse,keep_after_cold_start,cold_miss,0.35,2.0,10.6,4,4,json-parse;video-transcode
fixed_keep_alive,9.1,24,img-resize,keep_after_cold_start,cold_miss,0.8,2.0,11.1,2,4,img-resize;json-parse
fixed_keep_alive,9.7,25,ml-infer,keep_after_cold_start,cold_miss,0.95,2.0,11.7,4,4,img-resize;json-parse;ml-infer
fixed_keep_alive,10.2,26,fft,keep_after_cold_start,cold_miss,0.7,2.0,12.2,4,4,fft;ml-infer
fixed_keep_alive,10.8,27,img-resize,keep_after_cold_start,cold_miss,0.8,2.0,12.8,3,4,fft;img-resize
fixed_keep_alive,11.4,28,json-parse,keep_after_cold_start,cold_miss,0.35,2.0,13.4,4,4,fft;img-resize;json-parse
fixed_keep_alive,12.0,29,thumbnail,keep_after_cold_start,cold_miss,0.5,2.0,14.0,3,4,img-resize;json-parse;thumbnail
fixed_keep_alive,12.8,30,video-transcode,keep_after_cold_start,cold_miss,0.7333333333333334,2.0,14.8,4,4,thumbnail;video-transcode
cold_start_aware,0.0,1,img-resize,keep_after_cold_start,cold_miss,0.96,1.86,1.86,1,4,img-resize
cold_start_aware,0.2,2,json-parse,keep_after_cold_start,cold_miss,0.42,1.32,1.52,2,4,img-resize;json-parse
cold_start_aware,0.4,3,img-resize,extend_keep_alive,warm_hit,1.1199999999999999,2.2600000000000002,2.66,2,4,img-resize;json-parse
cold_start_aware,0.7,4,fft,keep_after_cold_start,cold_miss,0.84,2.28,2.9799999999999995,4,4,fft;img-resize;json-parse
cold_start_aware,1.0,5,img-resize,extend_keep_alive,warm_hit,1.2800000000000002,2.66,3.66,4,4,fft;img-resize;json-parse
cold_start_aware,1.4,6,video-transcode,keep_after_cold_start,cold_miss,0.88,2.9400000000000004,4.34,4,4,img-resize;video-transcode
cold_start_aware,1.7,7,json-parse,keep_after_cold_start,cold_miss,0.48999999999999994,1.72,3.42,2,4,img-resize;json-parse
cold_start_aware,2.0,8,fft,keep_after_cold_start,cold_miss,0.9799999999999999,2.68,4.68,4,4,fft;img-resize;json-parse
cold_start_aware,2.3,9,img-resize,extend_keep_alive,warm_hit,1.4400000000000002,3.0600000000000005,5.36,4,4,fft;img-resize;json-parse
cold_start_aware,2.8,10,ml-infer,keep_after_cold_start,cold_miss,1.14,2.88,5.68,3,4,img-resize;ml-infer
cold_start_aware,3.1,11,json-parse,keep_after_cold_start,cold_miss,0.5599999999999999,2.12,5.220000000000001,4,4,img-resize;json-parse;ml-infer
cold_start_aware,3.4,12,img-resize,extend_keep_alive,warm_hit,1.6,3.46,6.859999999999999,4,4,img-resize;json-parse;ml-infer
cold_start_aware,3.8,13,thumbnail,keep_after_cold_start,cold_miss,0.6,1.4999999999999998,5.3,4,4,img-resize;ml-infer;thumbnail
cold_start_aware,4.2,14,fft,keep_after_cold_start,cold_miss,1.1199999999999999,3.0799999999999996,7.279999999999999,3,4,fft;img-resize
cold_start_aware,4.7,15,video-transcode,keep_after_cold_start,cold_miss,1.0266666666666666,3.3400000000000003,8.040000000000001,4,4,img-resize;video-transcode
cold_start_aware,5.1,16,img-resize,extend_keep_alive,warm_hit,1.6,3.46,8.559999999999999,4,4,img-resize;video-transcode
cold_start_aware,5.5,17,json-parse,keep_after_cold_start,cold_miss,0.5599999999999999,2.12,7.62,2,4,img-resize;json-parse
cold_start_aware,5.9,18,ml-infer,keep_after_cold_start,cold_miss,1.3299999999999998,3.28,9.18,4,4,img-resize;json-parse;ml-infer
cold_start_aware,6.2,19,img-resize,extend_keep_alive,warm_hit,1.4400000000000002,3.0600000000000005,9.260000000000002,4,4,img-resize;json-parse;ml-infer
cold_start_aware,6.8,20,fft,keep_after_cold_start,cold_miss,1.1199999999999999,3.0799999999999996,9.879999999999999,3,4,fft;img-resize
cold_start_aware,7.4,21,thumbnail,keep_after_cold_start,cold_miss,0.7,1.9000000000000001,9.3,4,4,fft;img-resize;thumbnail
cold_start_aware,8.0,22,video-transcode,keep_after_cold_start,cold_miss,1.0266666666666666,3.3400000000000003,11.34,4,4,img-resize;video-transcode
cold_start_aware,8.6,23,json-parse,keep_after_cold_start,cold_miss,0.48999999999999994,1.72,10.32,2,4,img-resize;json-parse
cold_start_aware,9.1,24,img-resize,extend_keep_alive,warm_hit,1.2800000000000002,2.66,11.76,2,4,img-resize;json-parse
cold_start_aware,9.7,25,ml-infer,keep_after_cold_start,cold_miss,1.3299999999999998,3.28,12.979999999999999,4,4,img-resize;json-parse;ml-infer
cold_start_aware,10.2,26,fft,keep_after_cold_start,cold_miss,0.9799999999999999,2.68,12.879999999999999,4,4,fft;ml-infer
cold_start_aware,10.8,27,img-resize,keep_after_cold_start,cold_miss,1.2800000000000002,2.66,13.46,3,4,img-resize;ml-infer
cold_start_aware,11.4,28,json-parse,keep_after_cold_start,cold_miss,0.48999999999999994,1.72,13.120000000000001,4,4,img-resize;json-parse;ml-infer
cold_start_aware,12.0,29,thumbnail,keep_after_cold_start,cold_miss,0.7,1.9000000000000001,13.9,4,4,img-resize;ml-infer;thumbnail
cold_start_aware,12.8,30,video-transcode,keep_after_cold_start,cold_miss,1.0266666666666666,3.3400000000000003,16.14,3,4,video-transcode
