policy_name,request_id,time,function_name,cache_hit,latency,cold_start_penalty,keep_alive_window,cache_used_after,warm_keys_after
fixed_keep_alive,1,0.0,img-resize,False,0.88,0.8,2.0,1,img-resize
fixed_keep_alive,2,0.2,json-parse,False,0.38999999999999996,0.35,2.0,2,img-resize;json-parse
fixed_keep_alive,3,0.4,img-resize,True,0.08,0.0,2.0,2,img-resize;json-parse
fixed_keep_alive,4,0.7,fft,False,1.5799999999999998,1.4,2.0,4,fft;img-resize;json-parse
fixed_keep_alive,5,1.0,img-resize,True,0.08,0.0,2.0,4,fft;img-resize;json-parse
fixed_keep_alive,6,1.4,video-transcode,False,2.6500000000000004,2.2,2.0,4,img-resize;video-transcode
fixed_keep_alive,7,1.7,json-parse,False,0.38999999999999996,0.35,2.0,4,json-parse;video-transcode
fixed_keep_alive,8,2.0,fft,False,1.5799999999999998,1.4,2.0,3,fft;json-parse
fixed_keep_alive,9,2.3,img-resize,False,0.88,0.8,2.0,4,fft;img-resize;json-parse
fixed_keep_alive,10,2.8,ml-infer,False,2.1999999999999997,1.9,2.0,3,img-resize;ml-infer
fixed_keep_alive,11,3.1,json-parse,False,0.38999999999999996,0.35,2.0,4,img-resize;json-parse;ml-infer
fixed_keep_alive,12,3.4,img-resize,True,0.08,0.0,2.0,4,img-resize;json-parse;ml-infer
fixed_keep_alive,13,3.8,thumbnail,False,0.56,0.5,2.0,3,img-resize;json-parse;thumbnail
fixed_keep_alive,14,4.2,fft,False,1.5799999999999998,1.4,2.0,4,fft;img-resize;thumbnail
fixed_keep_alive,15,4.7,video-transcode,False,2.6500000000000004,2.2,2.0,3,video-transcode
fixed_keep_alive,16,5.1,img-resize,False,0.88,0.8,2.0,4,img-resize;video-transcode
fixed_keep_alive,17,5.5,json-parse,False,0.38999999999999996,0.35,2.0,2,img-resize;json-parse
fixed_keep_alive,18,5.9,ml-infer,False,2.1999999999999997,1.9,2.0,4,img-resize;json-parse;ml-infer
fixed_keep_alive,19,6.2,img-resize,True,0.08,0.0,2.0,4,img-resize;json-parse;ml-infer
fixed_keep_alive,20,6.8,fft,False,1.5799999999999998,1.4,2.0,3,fft;img-resize
fixed_keep_alive,21,7.4,thumbnail,False,0.56,0.5,2.0,4,fft;img-resize;thumbnail
fixed_keep_alive,22,8.0,video-transcode,False,2.6500000000000004,2.2,2.0,4,thumbnail;video-transcode
fixed_keep_alive,23,8.6,json-parse,False,0.38999999999999996,0.35,2.0,4,json-parse;video-transcode
fixed_keep_alive,24,9.1,img-resize,False,0.88,0.8,2.0,2,img-resize;json-parse
fixed_keep_alive,25,9.7,ml-infer,False,2.1999999999999997,1.9,2.0,4,img-resize;json-parse;ml-infer
fixed_keep_alive,26,10.2,fft,False,1.5799999999999998,1.4,2.0,4,fft;ml-infer
fixed_keep_alive,27,10.8,img-resize,False,0.88,0.8,2.0,3,fft;img-resize
fixed_keep_alive,28,11.4,json-parse,False,0.38999999999999996,0.35,2.0,4,fft;img-resize;json-parse
fixed_keep_alive,29,12.0,thumbnail,False,0.56,0.5,2.0,3,img-resize;json-parse;thumbnail
fixed_keep_alive,30,12.8,video-transcode,False,2.6500000000000004,2.2,2.0,4,thumbnail;video-transcode
cold_start_aware,1,0.0,img-resize,False,0.88,0.8,1.86,1,img-resize
cold_start_aware,2,0.2,json-parse,False,0.38999999999999996,0.35,1.32,2,img-resize;json-parse
cold_start_aware,3,0.4,img-resize,True,0.08,0.0,2.2600000000000002,2,img-resize;json-parse
cold_start_aware,4,0.7,fft,False,1.5799999999999998,1.4,2.28,4,fft;img-resize;json-parse
cold_start_aware,5,1.0,img-resize,True,0.08,0.0,2.66,4,fft;img-resize;json-parse
cold_start_aware,6,1.4,video-transcode,False,2.6500000000000004,2.2,2.9400000000000004,4,img-resize;video-transcode
cold_start_aware,7,1.7,json-parse,False,0.38999999999999996,0.35,1.72,2,img-resize;json-parse
cold_start_aware,8,2.0,fft,False,1.5799999999999998,1.4,2.68,4,fft;img-resize;json-parse
cold_start_aware,9,2.3,img-resize,True,0.08,0.0,3.0600000000000005,4,fft;img-resize;json-parse
cold_start_aware,10,2.8,ml-infer,False,2.1999999999999997,1.9,2.88,3,img-resize;ml-infer
cold_start_aware,11,3.1,json-parse,False,0.38999999999999996,0.35,2.12,4,img-resize;json-parse;ml-infer
cold_start_aware,12,3.4,img-resize,True,0.08,0.0,3.46,4,img-resize;json-parse;ml-infer
cold_start_aware,13,3.8,thumbnail,False,0.56,0.5,1.4999999999999998,4,img-resize;ml-infer;thumbnail
cold_start_aware,14,4.2,fft,False,1.5799999999999998,1.4,3.0799999999999996,3,fft;img-resize
cold_start_aware,15,4.7,video-transcode,False,2.6500000000000004,2.2,3.3400000000000003,4,img-resize;video-transcode
cold_start_aware,16,5.1,img-resize,True,0.08,0.0,3.46,4,img-resize;video-transcode
cold_start_aware,17,5.5,json-parse,False,0.38999999999999996,0.35,2.12,2,img-resize;json-parse
cold_start_aware,18,5.9,ml-infer,False,2.1999999999999997,1.9,3.28,4,img-resize;json-parse;ml-infer
cold_start_aware,19,6.2,img-resize,True,0.08,0.0,3.0600000000000005,4,img-resize;json-parse;ml-infer
cold_start_aware,20,6.8,fft,False,1.5799999999999998,1.4,3.0799999999999996,3,fft;img-resize
cold_start_aware,21,7.4,thumbnail,False,0.56,0.5,1.9000000000000001,4,fft;img-resize;thumbnail
cold_start_aware,22,8.0,video-transcode,False,2.6500000000000004,2.2,3.3400000000000003,4,img-resize;video-transcode
cold_start_aware,23,8.6,json-parse,False,0.38999999999999996,0.35,1.72,2,img-resize;json-parse
cold_start_aware,24,9.1,img-resize,True,0.08,0.0,2.66,2,img-resize;json-parse
cold_start_aware,25,9.7,ml-infer,False,2.1999999999999997,1.9,3.28,4,img-resize;json-parse;ml-infer
cold_start_aware,26,10.2,fft,False,1.5799999999999998,1.4,2.68,4,fft;ml-infer
cold_start_aware,27,10.8,img-resize,False,0.88,0.8,2.66,3,img-resize;ml-infer
cold_start_aware,28,11.4,json-parse,False,0.38999999999999996,0.35,1.72,4,img-resize;json-parse;ml-infer
cold_start_aware,29,12.0,thumbnail,False,0.56,0.5,1.9000000000000001,4,img-resize;ml-infer;thumbnail
cold_start_aware,30,12.8,video-transcode,False,2.6500000000000004,2.2,3.3400000000000003,3,video-transcode
