function_name,request_id,replica_id,probe_simtime,probe_final_duration,probe_reason,probe_success,inv_t_start,inv_t_exec,duration_match
fault-prone-python-pi,1,2054203037760,0.6666666666666666,0.25,normal,True,0.6666666666666666,0.25,True
fault-prone-python-pi,2,2054203037760,0.8333333333333333,0.25,normal,True,0.8333333333333333,0.25,True
fault-prone-python-pi,3,2054203037760,0.9999999999999999,0.25,normal,True,0.9999999999999999,0.2500000000000001,True
fault-prone-python-pi,4,2054203037760,1.1666666666666665,0.03,node_outage,False,1.1666666666666665,0.030000000000000027,True
fault-prone-python-pi,5,2054203037760,1.3333333333333333,0.03,node_outage,False,1.3333333333333333,0.030000000000000027,True
fault-prone-python-pi,6,2054203037760,1.5,0.03,node_outage,False,1.5,0.030000000000000027,True
fault-prone-python-pi,7,2054203037760,1.6666666666666667,0.03,node_outage,False,1.6666666666666667,0.030000000000000027,True
fault-prone-python-pi,8,2054203037760,1.8333333333333335,0.25,normal,True,1.8333333333333335,0.25,True
fault-prone-python-pi,9,2054203037760,2.0,0.25,normal,True,2.0,0.25,True
fault-prone-python-pi,10,2054203037760,2.1666666666666665,0.25,normal,True,2.1666666666666665,0.25,True
fault-prone-python-pi,11,2054203037760,2.333333333333333,0.7,network_degradation,True,2.333333333333333,0.7000000000000002,True
fault-prone-python-pi,12,2054203037760,2.4999999999999996,0.7,network_degradation,True,2.4999999999999996,0.6999999999999997,True
fault-prone-python-pi,13,2054203037760,2.666666666666666,0.7,network_degradation,True,2.666666666666666,0.7000000000000002,True
fault-prone-python-pi,14,2054203037760,2.8333333333333326,0.03,replica_error,False,2.8333333333333326,0.029999999999999805,True
fault-prone-python-pi,16,2054203037760,3.1666666666666656,0.7,network_degradation,True,3.1666666666666656,0.6999999999999997,True
fault-prone-python-pi,18,2054203037760,3.4999999999999987,0.7,network_degradation,True,3.4999999999999987,0.6999999999999997,True
fault-prone-python-pi,20,2054203037760,3.8333333333333317,0.25,normal,True,3.8333333333333317,0.25000000000000044,True
fault-prone-python-pi,22,2054203037760,4.166666666666665,0.25,normal,True,4.166666666666665,0.25,True
fault-prone-python-pi,24,2054203037760,4.499999999999999,0.25,normal,True,4.499999999999999,0.25,True
fault-prone-python-pi,26,2054203037760,4.833333333333333,0.25,normal,True,4.833333333333333,0.25,True
fault-prone-python-pi,28,2054203037760,5.166666666666667,0.03,replica_error,False,5.166666666666667,0.03000000000000025,True
fault-prone-python-pi,30,2054203037760,5.500000000000001,0.25,normal,True,5.500000000000001,0.25,True
fault-prone-python-pi,15,2054203039152,2.999999999999999,0.7,network_degradation,True,2.999999999999999,0.7000000000000002,True
fault-prone-python-pi,17,2054203039152,3.333333333333332,0.7,network_degradation,True,3.333333333333332,0.7000000000000002,True
fault-prone-python-pi,19,2054203039152,3.666666666666665,0.25,normal,True,3.666666666666665,0.25,True
fault-prone-python-pi,21,2054203039152,3.9999999999999982,0.03,replica_error,False,3.9999999999999982,0.03000000000000025,True
fault-prone-python-pi,23,2054203039152,4.333333333333332,0.25,normal,True,4.333333333333332,0.25,True
fault-prone-python-pi,25,2054203039152,4.666666666666666,0.25,normal,True,4.666666666666666,0.25,True
fault-prone-python-pi,27,2054203039152,5.0,0.25,normal,True,5.0,0.25,True
fault-prone-python-pi,29,2054203039152,5.333333333333334,0.25,normal,True,5.333333333333334,0.25,True
