function_name,request_id,replica_id,node_name,reason,simtime,in_window_faults,expected_in_window,window_match
fault-prone-python-pi,1,2089470727568,server_0,normal,0.6666666666666666,,False,True
fault-prone-python-pi,3,2089470727568,server_0,normal,0.9999999999999999,,False,True
fault-prone-python-pi,5,2089470727568,server_0,node_outage,1.3333333333333333,node_outage_server_0,True,True
fault-prone-python-pi,7,2089470727568,server_0,node_outage,1.6666666666666667,node_outage_server_0,True,True
fault-prone-python-pi,9,2089470727568,server_0,normal,2.0,,False,True
fault-prone-python-pi,11,2089470727568,server_0,network_degradation,2.333333333333333,network_degradation_server_0,True,True
fault-prone-python-pi,13,2089470727568,server_0,network_degradation,2.666666666666666,network_degradation_server_0,True,True
fault-prone-python-pi,15,2089470727568,server_0,network_degradation,2.999999999999999,network_degradation_server_0,True,True
fault-prone-python-pi,17,2089470727568,server_0,network_degradation,3.333333333333332,network_degradation_server_0,True,True
fault-prone-python-pi,19,2089470727568,server_0,normal,3.666666666666665,,False,True
fault-prone-python-pi,21,2089470727568,server_0,replica_error,3.9999999999999982,,False,True
fault-prone-python-pi,23,2089470727568,server_0,normal,4.333333333333332,,False,True
fault-prone-python-pi,25,2089470727568,server_0,normal,4.666666666666666,,False,True
fault-prone-python-pi,27,2089470727568,server_0,normal,5.0,,False,True
fault-prone-python-pi,29,2089470727568,server_0,normal,5.333333333333334,,False,True
fault-prone-python-pi,2,2089470873280,server_0,normal,0.8333333333333333,,False,True
fault-prone-python-pi,4,2089470873280,server_0,node_outage,1.1666666666666665,node_outage_server_0,True,True
fault-prone-python-pi,6,2089470873280,server_0,node_outage,1.5,node_outage_server_0,True,True
fault-prone-python-pi,8,2089470873280,server_0,normal,1.8333333333333335,,False,True
fault-prone-python-pi,10,2089470873280,server_0,normal,2.1666666666666665,,False,True
fault-prone-python-pi,12,2089470873280,server_0,network_degradation,2.4999999999999996,network_degradation_server_0,True,True
fault-prone-python-pi,14,2089470873280,server_0,replica_error,2.8333333333333326,network_degradation_server_0,False,True
fault-prone-python-pi,16,2089470873280,server_0,network_degradation,3.1666666666666656,network_degradation_server_0,True,True
fault-prone-python-pi,18,2089470873280,server_0,network_degradation,3.4999999999999987,network_degradation_server_0,True,True
fault-prone-python-pi,20,2089470873280,server_0,normal,3.8333333333333317,,False,True
fault-prone-python-pi,22,2089470873280,server_0,normal,4.166666666666665,,False,True
fault-prone-python-pi,24,2089470873280,server_0,normal,4.499999999999999,,False,True
fault-prone-python-pi,26,2089470873280,server_0,normal,4.833333333333333,,False,True
fault-prone-python-pi,28,2089470873280,server_0,replica_error,5.166666666666667,,False,True
fault-prone-python-pi,30,2089470873280,server_0,normal,5.500000000000001,,False,True
