success,base_duration,extra_delay,final_duration,failure_latency,function_name,request_id,node_name,replica_id,reason,active_fault,simtime,expected_simtime
True,0.25,0.0,0.25,0.0,fault-prone-python-pi,1,server_0,2031568934608,normal,none,0.6666666666666666,0.9166666666666666
True,0.25,0.0,0.25,0.0,fault-prone-python-pi,2,server_0,2031568934608,normal,none,0.8333333333333333,1.0833333333333333
True,0.25,0.0,0.25,0.0,fault-prone-python-pi,3,server_0,2031568934608,normal,none,0.9999999999999999,1.25
False,0.25,0.0,0.03,0.03,fault-prone-python-pi,4,server_0,2031568934608,node_outage,node_outage_server_0,1.1666666666666665,1.1966666666666665
False,0.25,0.0,0.03,0.03,fault-prone-python-pi,5,server_0,2031568934608,node_outage,node_outage_server_0,1.3333333333333333,1.3633333333333333
False,0.25,0.0,0.03,0.03,fault-prone-python-pi,6,server_0,2031568934608,node_outage,node_outage_server_0,1.5,1.53
False,0.25,0.0,0.03,0.03,fault-prone-python-pi,7,server_0,2031568934608,node_outage,node_outage_server_0,1.6666666666666667,1.6966666666666668
True,0.25,0.0,0.25,0.0,fault-prone-python-pi,8,server_0,2031568934608,normal,none,1.8333333333333335,2.0833333333333335
True,0.25,0.0,0.25,0.0,fault-prone-python-pi,9,server_0,2031568934608,normal,none,2.0,2.25
True,0.25,0.0,0.25,0.0,fault-prone-python-pi,10,server_0,2031568934608,normal,none,2.1666666666666665,2.4166666666666665
True,0.25,0.45,0.7,0.0,fault-prone-python-pi,11,server_0,2031568934608,network_degradation,network_degradation_server_0,2.333333333333333,3.033333333333333
True,0.25,0.45,0.7,0.0,fault-prone-python-pi,12,server_0,2031568934608,network_degradation,network_degradation_server_0,2.4999999999999996,3.1999999999999993
True,0.25,0.45,0.7,0.0,fault-prone-python-pi,13,server_0,2031568934608,network_degradation,network_degradation_server_0,2.666666666666666,3.3666666666666663
False,0.25,0.0,0.03,0.03,fault-prone-python-pi,14,server_0,2031568934608,replica_error,periodic_replica_error,2.8333333333333326,2.8633333333333324
True,0.25,0.45,0.7,0.0,fault-prone-python-pi,16,server_0,2031568934608,network_degradation,network_degradation_server_0,3.1666666666666656,3.8666666666666654
True,0.25,0.45,0.7,0.0,fault-prone-python-pi,18,server_0,2031568934608,network_degradation,network_degradation_server_0,3.4999999999999987,4.199999999999998
True,0.25,0.0,0.25,0.0,fault-prone-python-pi,20,server_0,2031568934608,normal,none,3.8333333333333317,4.083333333333332
True,0.25,0.0,0.25,0.0,fault-prone-python-pi,22,server_0,2031568934608,normal,none,4.166666666666665,4.416666666666665
True,0.25,0.0,0.25,0.0,fault-prone-python-pi,24,server_0,2031568934608,normal,none,4.499999999999999,4.749999999999999
True,0.25,0.0,0.25,0.0,fault-prone-python-pi,26,server_0,2031568934608,normal,none,4.833333333333333,5.083333333333333
False,0.25,0.0,0.03,0.03,fault-prone-python-pi,28,server_0,2031568934608,replica_error,periodic_replica_error,5.166666666666667,5.196666666666667
True,0.25,0.0,0.25,0.0,fault-prone-python-pi,30,server_0,2031568934608,normal,none,5.500000000000001,5.750000000000001
True,0.25,0.45,0.7,0.0,fault-prone-python-pi,15,server_0,2031569175616,network_degradation,network_degradation_server_0,2.999999999999999,3.6999999999999993
True,0.25,0.45,0.7,0.0,fault-prone-python-pi,17,server_0,2031569175616,network_degradation,network_degradation_server_0,3.333333333333332,4.033333333333332
True,0.25,0.0,0.25,0.0,fault-prone-python-pi,19,server_0,2031569175616,normal,none,3.666666666666665,3.916666666666665
False,0.25,0.0,0.03,0.03,fault-prone-python-pi,21,server_0,2031569175616,replica_error,periodic_replica_error,3.9999999999999982,4.0299999999999985
True,0.25,0.0,0.25,0.0,fault-prone-python-pi,23,server_0,2031569175616,normal,none,4.333333333333332,4.583333333333332
True,0.25,0.0,0.25,0.0,fault-prone-python-pi,25,server_0,2031569175616,normal,none,4.666666666666666,4.916666666666666
True,0.25,0.0,0.25,0.0,fault-prone-python-pi,27,server_0,2031569175616,normal,none,5.0,5.25
True,0.25,0.0,0.25,0.0,fault-prone-python-pi,29,server_0,2031569175616,normal,none,5.333333333333334,5.583333333333334
