time,cpu,memory,cpu_util,mem_util,node,replica_id
2026-07-07 15:34:51.311009,13200.0,67108864,0.15,0.0003569620425531915,server_0,2089470873280
2026-07-07 15:34:51.311030,13200.0,67108864,0.15,0.0003569620425531915,server_0,2089470727568
2026-07-07 15:34:51.311413,13200.0,67108864,0.15,0.0003569620425531915,server_0,2089470873280
2026-07-07 15:34:51.311427,0.0,0,0.0,0.0,server_0,2089470727568
2026-07-07 15:34:51.311916,13200.0,67108864,0.15,0.0003569620425531915,server_0,2089470873280
2026-07-07 15:34:51.311931,39600.0,201326592,0.45,0.0010708861276595744,server_0,2089470727568
2026-07-07 15:34:51.312368,26400.0,134217728,0.3,0.000713924085106383,server_0,2089470873280
2026-07-07 15:34:51.312381,13200.0,67108864,0.15,0.0003569620425531915,server_0,2089470727568
2026-07-07 15:34:51.312762,13200.0,67108864,0.15,0.0003569620425531915,server_0,2089470873280
2026-07-07 15:34:51.312775,0.0,0,0.0,0.0,server_0,2089470727568
