time,success,base_duration,extra_delay,final_duration,failure_latency,function_name,request_id,node_name,replica_id,reason,active_fault
2026-07-07 15:34:51.310799,True,0.25,0.0,0.25,0.0,fault-prone-python-pi,1,server_0,2089470727568,normal,none
2026-07-07 15:34:51.310896,True,0.25,0.0,0.25,0.0,fault-prone-python-pi,2,server_0,2089470873280,normal,none
2026-07-07 15:34:51.310980,True,0.25,0.0,0.25,0.0,fault-prone-python-pi,3,server_0,2089470727568,normal,none
2026-07-07 15:34:51.311117,False,0.25,0.0,0.03,0.03,fault-prone-python-pi,4,server_0,2089470873280,node_outage,node_outage_server_0
2026-07-07 15:34:51.311194,False,0.25,0.0,0.03,0.03,fault-prone-python-pi,5,server_0,2089470727568,node_outage,node_outage_server_0
2026-07-07 15:34:51.311259,False,0.25,0.0,0.03,0.03,fault-prone-python-pi,6,server_0,2089470873280,node_outage,node_outage_server_0
2026-07-07 15:34:51.311321,False,0.25,0.0,0.03,0.03,fault-prone-python-pi,7,server_0,2089470727568,node_outage,node_outage_server_0
2026-07-07 15:34:51.311390,True,0.25,0.0,0.25,0.0,fault-prone-python-pi,8,server_0,2089470873280,normal,none
2026-07-07 15:34:51.311485,True,0.25,0.0,0.25,0.0,fault-prone-python-pi,9,server_0,2089470727568,normal,none
2026-07-07 15:34:51.311553,True,0.25,0.0,0.25,0.0,fault-prone-python-pi,10,server_0,2089470873280,normal,none
2026-07-07 15:34:51.311645,True,0.25,0.45,0.7,0.0,fault-prone-python-pi,11,server_0,2089470727568,network_degradation,network_degradation_server_0
2026-07-07 15:34:51.311715,True,0.25,0.45,0.7,0.0,fault-prone-python-pi,12,server_0,2089470873280,network_degradation,network_degradation_server_0
2026-07-07 15:34:51.311772,True,0.25,0.45,0.7,0.0,fault-prone-python-pi,13,server_0,2089470727568,network_degradation,network_degradation_server_0
2026-07-07 15:34:51.311828,False,0.25,0.0,0.03,0.03,fault-prone-python-pi,14,server_0,2089470873280,replica_error,periodic_replica_error
2026-07-07 15:34:51.311893,True,0.25,0.45,0.7,0.0,fault-prone-python-pi,15,server_0,2089470727568,network_degradation,network_degradation_server_0
2026-07-07 15:34:51.312001,True,0.25,0.45,0.7,0.0,fault-prone-python-pi,16,server_0,2089470873280,network_degradation,network_degradation_server_0
2026-07-07 15:34:51.312068,True,0.25,0.45,0.7,0.0,fault-prone-python-pi,17,server_0,2089470727568,network_degradation,network_degradation_server_0
2026-07-07 15:34:51.312136,True,0.25,0.45,0.7,0.0,fault-prone-python-pi,18,server_0,2089470873280,network_degradation,network_degradation_server_0
2026-07-07 15:34:51.312201,True,0.25,0.0,0.25,0.0,fault-prone-python-pi,19,server_0,2089470727568,normal,none
2026-07-07 15:34:51.312268,True,0.25,0.0,0.25,0.0,fault-prone-python-pi,20,server_0,2089470873280,normal,none
2026-07-07 15:34:51.312347,False,0.25,0.0,0.03,0.03,fault-prone-python-pi,21,server_0,2089470727568,replica_error,periodic_replica_error
2026-07-07 15:34:51.312466,True,0.25,0.0,0.25,0.0,fault-prone-python-pi,22,server_0,2089470873280,normal,none
2026-07-07 15:34:51.312532,True,0.25,0.0,0.25,0.0,fault-prone-python-pi,23,server_0,2089470727568,normal,none
2026-07-07 15:34:51.312599,True,0.25,0.0,0.25,0.0,fault-prone-python-pi,24,server_0,2089470873280,normal,none
2026-07-07 15:34:51.312665,True,0.25,0.0,0.25,0.0,fault-prone-python-pi,25,server_0,2089470727568,normal,none
2026-07-07 15:34:51.312730,True,0.25,0.0,0.25,0.0,fault-prone-python-pi,26,server_0,2089470873280,normal,none
2026-07-07 15:34:51.312834,True,0.25,0.0,0.25,0.0,fault-prone-python-pi,27,server_0,2089470727568,normal,none
2026-07-07 15:34:51.312907,False,0.25,0.0,0.03,0.03,fault-prone-python-pi,28,server_0,2089470873280,replica_error,periodic_replica_error
2026-07-07 15:34:51.312995,True,0.25,0.0,0.25,0.0,fault-prone-python-pi,29,server_0,2089470727568,normal,none
2026-07-07 15:34:51.313063,True,0.25,0.0,0.25,0.0,fault-prone-python-pi,30,server_0,2089470873280,normal,none
