case_id,policy_name,request_id,time,function_name,recent_rate,cold_benefit,resource_cost,cache_utility,r_cache,r_load,r_desired,current_replicas,action,reason
load_only,LoadOnly,1,0.0,img-resize,0.2,0.8,0.6,1.3333333333333335,0,1,1,0,scale_out,load_requires_more_replicas
load_only,LoadOnly,2,0.2,json-parse,0.2,0.35,0.6,0.5833333333333334,0,1,1,0,scale_out,load_requires_more_replicas
load_only,LoadOnly,3,0.5,img-resize,0.4,1.6,0.6,2.666666666666667,0,1,1,1,observe,no_change
load_only,LoadOnly,4,0.8,fft,0.2,1.4,1.2,1.1666666666666667,0,1,1,0,scale_out,load_requires_more_replicas
load_only,LoadOnly,5,1.1,img-resize,0.6,2.4000000000000004,0.6,4.000000000000001,0,1,1,1,observe,no_change
load_only,LoadOnly,6,1.4,ml-infer,0.2,1.9,1.2,1.5833333333333333,0,1,1,0,scale_out,load_requires_more_replicas
load_only,LoadOnly,7,1.8,json-parse,0.4,0.7,0.6,1.1666666666666667,0,1,1,1,observe,no_change
load_only,LoadOnly,8,2.1,fft,0.4,2.8,1.2,2.3333333333333335,0,1,1,1,observe,no_change
load_only,LoadOnly,9,2.4,img-resize,0.8,3.2,0.6,5.333333333333334,0,1,1,1,observe,no_change
load_only,LoadOnly,10,2.8,video-analytics,0.2,2.4,1.7999999999999998,1.3333333333333335,0,1,1,0,scale_out,load_requires_more_replicas
load_only,LoadOnly,11,3.0,img-resize,1.0,4.0,0.6,6.666666666666667,0,1,1,1,observe,no_change
load_only,LoadOnly,12,3.1,img-resize,1.2,4.800000000000001,0.6,8.000000000000002,0,1,1,1,observe,no_change
load_only,LoadOnly,13,3.2,fft,0.6,4.199999999999999,1.2,3.4999999999999996,0,1,1,1,observe,no_change
load_only,LoadOnly,14,3.3,ml-infer,0.4,3.8,1.2,3.1666666666666665,0,1,1,1,observe,no_change
load_only,LoadOnly,15,3.4,img-resize,1.4,5.6000000000000005,0.6,9.333333333333334,0,1,1,1,observe,no_change
load_only,LoadOnly,16,3.5,json-parse,0.6,1.0499999999999998,0.6,1.7499999999999998,0,1,1,1,observe,no_change
load_only,LoadOnly,17,3.6,fft,0.8,5.6,1.2,4.666666666666667,0,1,1,1,observe,no_change
load_only,LoadOnly,18,3.7,ml-infer,0.6,5.699999999999999,1.2,4.75,0,1,1,1,observe,no_change
load_only,LoadOnly,19,3.8,video-analytics,0.4,4.8,1.7999999999999998,2.666666666666667,0,1,1,1,observe,no_change
load_only,LoadOnly,20,3.9,img-resize,1.6,6.4,0.6,10.666666666666668,0,1,1,1,observe,no_change
load_only,LoadOnly,21,4.1,json-parse,0.8,1.4,0.6,2.3333333333333335,0,1,1,1,observe,no_change
load_only,LoadOnly,22,4.3,fft,1.0,7.0,1.2,5.833333333333334,0,1,1,1,observe,no_change
load_only,LoadOnly,23,4.5,ml-infer,0.8,7.6,1.2,6.333333333333333,0,1,1,1,observe,no_change
load_only,LoadOnly,24,4.8,img-resize,1.8,7.2,0.6,12.0,0,1,1,1,observe,no_change
load_only,LoadOnly,25,5.2,video-analytics,0.6,7.199999999999999,1.7999999999999998,4.0,0,1,1,1,observe,no_change
load_only,LoadOnly,26,6.0,json-parse,0.8,1.4,0.6,2.3333333333333335,0,1,1,1,observe,no_change
load_only,LoadOnly,27,6.5,img-resize,1.4,5.6000000000000005,0.6,9.333333333333334,0,1,1,1,observe,no_change
load_only,LoadOnly,28,7.0,fft,1.0,7.0,1.2,5.833333333333334,0,1,1,1,observe,no_change
load_only,LoadOnly,29,7.5,ml-infer,0.8,7.6,1.2,6.333333333333333,0,1,1,1,observe,no_change
load_only,LoadOnly,30,8.2,json-parse,0.8,1.4,0.6,2.3333333333333335,0,1,1,1,observe,no_change
load_only,LoadOnly,31,9.0,img-resize,0.6,2.4000000000000004,0.6,4.000000000000001,0,1,1,1,observe,no_change
load_only,LoadOnly,32,9.8,video-analytics,0.4,4.8,1.7999999999999998,2.666666666666667,0,1,1,1,observe,no_change
load_only,LoadOnly,33,10.8,fft,0.4,2.8,1.2,2.3333333333333335,0,1,1,1,observe,no_change
load_only,LoadOnly,34,12.0,json-parse,0.4,0.7,0.6,1.1666666666666667,0,1,1,1,observe,no_change
load_only,LoadOnly,35,13.2,ml-infer,0.2,1.9,1.2,1.5833333333333333,0,1,1,1,observe,no_change
faascache,FaasCache,1,0.0,img-resize,0.2,0.8,0.6,1.3333333333333335,1,0,1,0,prewarm,cache_requires_warm_replica
faascache,FaasCache,2,0.2,json-parse,0.2,0.35,0.6,0.5833333333333334,0,0,0,0,observe,no_change
faascache,FaasCache,3,0.5,img-resize,0.4,1.6,0.6,2.666666666666667,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,4,0.8,fft,0.2,1.4,1.2,1.1666666666666667,1,0,1,0,prewarm,cache_requires_warm_replica
faascache,FaasCache,5,1.1,img-resize,0.6,2.4000000000000004,0.6,4.000000000000001,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,6,1.4,ml-infer,0.2,1.9,1.2,1.5833333333333333,1,0,1,0,prewarm,cache_requires_warm_replica
faascache,FaasCache,7,1.8,json-parse,0.4,0.7,0.6,1.1666666666666667,1,0,1,0,prewarm,cache_requires_warm_replica
faascache,FaasCache,8,2.1,fft,0.4,2.8,1.2,2.3333333333333335,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,9,2.4,img-resize,0.8,3.2,0.6,5.333333333333334,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,10,2.8,video-analytics,0.2,2.4,1.7999999999999998,1.3333333333333335,1,0,1,0,prewarm,cache_requires_warm_replica
faascache,FaasCache,11,3.0,img-resize,1.0,4.0,0.6,6.666666666666667,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,12,3.1,img-resize,1.2,4.800000000000001,0.6,8.000000000000002,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,13,3.2,fft,0.6,4.199999999999999,1.2,3.4999999999999996,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,14,3.3,ml-infer,0.4,3.8,1.2,3.1666666666666665,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,15,3.4,img-resize,1.4,5.6000000000000005,0.6,9.333333333333334,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,16,3.5,json-parse,0.6,1.0499999999999998,0.6,1.7499999999999998,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,17,3.6,fft,0.8,5.6,1.2,4.666666666666667,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,18,3.7,ml-infer,0.6,5.699999999999999,1.2,4.75,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,19,3.8,video-analytics,0.4,4.8,1.7999999999999998,2.666666666666667,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,20,3.9,img-resize,1.6,6.4,0.6,10.666666666666668,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,21,4.1,json-parse,0.8,1.4,0.6,2.3333333333333335,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,22,4.3,fft,1.0,7.0,1.2,5.833333333333334,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,23,4.5,ml-infer,0.8,7.6,1.2,6.333333333333333,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,24,4.8,img-resize,1.8,7.2,0.6,12.0,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,25,5.2,video-analytics,0.6,7.199999999999999,1.7999999999999998,4.0,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,26,6.0,json-parse,0.8,1.4,0.6,2.3333333333333335,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,27,6.5,img-resize,1.4,5.6000000000000005,0.6,9.333333333333334,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,28,7.0,fft,1.0,7.0,1.2,5.833333333333334,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,29,7.5,ml-infer,0.8,7.6,1.2,6.333333333333333,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,30,8.2,json-parse,0.8,1.4,0.6,2.3333333333333335,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,31,9.0,img-resize,0.6,2.4000000000000004,0.6,4.000000000000001,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,32,9.8,video-analytics,0.4,4.8,1.7999999999999998,2.666666666666667,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,33,10.8,fft,0.4,2.8,1.2,2.3333333333333335,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,34,12.0,json-parse,0.4,0.7,0.6,1.1666666666666667,1,0,1,1,protect,cache_keeps_replica
faascache,FaasCache,35,13.2,ml-infer,0.2,1.9,1.2,1.5833333333333333,1,0,1,1,protect,cache_keeps_replica
cache_aware_joint,CacheAwareJoint,1,0.0,img-resize,0.2,0.8,0.6,1.3333333333333335,1,1,1,0,scale_out,load_requires_more_replicas
cache_aware_joint,CacheAwareJoint,2,0.2,json-parse,0.2,0.35,0.6,0.5833333333333334,0,1,1,0,scale_out,load_requires_more_replicas
cache_aware_joint,CacheAwareJoint,3,0.5,img-resize,0.4,1.6,0.6,2.666666666666667,1,1,1,1,protect,cache_keeps_replica
cache_aware_joint,CacheAwareJoint,4,0.8,fft,0.2,1.4,1.2,1.1666666666666667,1,1,1,0,scale_out,load_requires_more_replicas
cache_aware_joint,CacheAwareJoint,5,1.1,img-resize,0.6,2.4000000000000004,0.6,4.000000000000001,1,1,1,1,protect,cache_keeps_replica
cache_aware_joint,CacheAwareJoint,6,1.4,ml-infer,0.2,1.9,1.2,1.5833333333333333,1,1,1,0,scale_out,load_requires_more_replicas
cache_aware_joint,CacheAwareJoint,7,1.8,json-parse,0.4,0.7,0.6,1.1666666666666667,1,1,1,1,protect,cache_keeps_replica
