case_id,policy_name,request_id,result_r_desired,decision_r_desired,result_r_cache,decision_r_cache,result_r_load,decision_r_load,match,detail
load_only,LoadOnly,1,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,2,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,3,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,4,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,5,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,6,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,7,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,8,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,9,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,10,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,11,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,12,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,13,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,14,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,15,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,16,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,17,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,18,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,19,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,20,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,21,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,22,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,23,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,24,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,25,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,26,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,27,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,28,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,29,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,30,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,31,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,32,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,33,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,34,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
load_only,LoadOnly,35,1.0,1.0,0.0,0.0,1.0,1.0,True,ok
faascache,FaasCache,1,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,2,0.0,0.0,0.0,0.0,0.0,0.0,True,ok
faascache,FaasCache,3,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,4,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,5,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,6,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,7,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,8,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,9,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,10,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,11,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,12,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,13,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,14,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,15,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,16,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,17,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,18,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,19,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,20,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,21,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,22,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,23,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,24,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,25,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,26,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,27,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,28,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,29,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,30,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,31,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,32,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,33,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,34,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
faascache,FaasCache,35,1.0,1.0,1.0,1.0,0.0,0.0,True,ok
cache_aware_joint,CacheAwareJoint,1,1.0,1.0,1.0,1.0,1.0,1.0,True,ok
