case_id,policy_name,request_id,time,function_name,candidate_node,feasible,function_cache_hit,image_cache_hit,data_cache_hit,zone_match,accel_match,resource_score,cache_score,locality_score,load_penalty,latency_penalty,total_score,selected,reason
load_only,LoadOnly,1,0.0,img-resize,edge-a-1,True,False,False,False,True,True,1.44,0.0,0.2,0.4,0.16,1.0799999999999998,True,round_robin_candidate
load_only,LoadOnly,1,0.0,img-resize,edge-a-2,True,False,False,False,True,True,1.32,0.0,0.2,0.64,0.24,0.64,False,round_robin_candidate
load_only,LoadOnly,1,0.0,img-resize,edge-b-1,True,False,False,False,False,True,1.54,0.0,0.0,0.32,0.2,1.02,False,round_robin_candidate
load_only,LoadOnly,1,0.0,img-resize,edge-b-2,True,False,False,False,False,True,1.2,0.0,0.0,0.8,0.32,0.0799999999999999,False,round_robin_candidate
load_only,LoadOnly,1,0.0,img-resize,edge-c-1,True,False,False,False,False,True,1.34,0.0,0.0,0.56,0.36,0.42000000000000004,False,round_robin_candidate
load_only,LoadOnly,1,0.0,img-resize,cloud-1,True,False,False,False,False,True,1.76,0.0,0.0,0.2,0.9,0.66,False,round_robin_candidate
load_only,LoadOnly,2,0.2,json-parse,edge-a-1,True,False,False,False,True,True,1.432,0.0,0.2,0.46,0.16,1.012,False,round_robin_candidate
load_only,LoadOnly,2,0.2,json-parse,edge-a-2,True,False,False,False,True,True,1.32,0.0,0.2,0.64,0.24,0.64,True,round_robin_candidate
load_only,LoadOnly,2,0.2,json-parse,edge-b-1,True,False,False,False,False,True,1.54,0.0,0.0,0.32,0.2,1.02,False,round_robin_candidate
load_only,LoadOnly,2,0.2,json-parse,edge-b-2,True,False,False,False,False,True,1.2,0.0,0.0,0.8,0.32,0.0799999999999999,False,round_robin_candidate
load_only,LoadOnly,2,0.2,json-parse,edge-c-1,True,False,False,False,False,True,1.34,0.0,0.0,0.56,0.36,0.42000000000000004,False,round_robin_candidate
load_only,LoadOnly,2,0.2,json-parse,cloud-1,True,False,False,False,False,True,1.76,0.0,0.0,0.2,0.9,0.66,False,round_robin_candidate
load_only,LoadOnly,3,0.5,img-resize,edge-a-1,True,True,True,True,True,True,1.432,0.0,0.2,0.46,0.16,1.012,False,round_robin_candidate
load_only,LoadOnly,3,0.5,img-resize,edge-a-2,True,False,False,False,True,True,1.3152000000000001,0.0,0.2,0.7,0.24,0.5752000000000002,False,round_robin_candidate
load_only,LoadOnly,3,0.5,img-resize,edge-b-1,True,False,False,False,False,True,1.54,0.0,0.0,0.32,0.2,1.02,True,round_robin_candidate
load_only,LoadOnly,3,0.5,img-resize,edge-b-2,True,False,False,False,False,True,1.2,0.0,0.0,0.8,0.32,0.0799999999999999,False,round_robin_candidate
load_only,LoadOnly,3,0.5,img-resize,edge-c-1,True,False,False,False,False,True,1.34,0.0,0.0,0.56,0.36,0.42000000000000004,False,round_robin_candidate
load_only,LoadOnly,3,0.5,img-resize,cloud-1,True,False,False,False,False,True,1.76,0.0,0.0,0.2,0.9,0.66,False,round_robin_candidate
load_only,LoadOnly,4,0.8,fft,edge-a-1,True,False,False,False,False,True,1.432,0.0,0.0,0.46,0.16,0.8119999999999999,False,round_robin_candidate
load_only,LoadOnly,4,0.8,fft,edge-a-2,True,False,False,False,False,True,1.3152000000000001,0.0,0.0,0.7,0.24,0.3752000000000002,False,round_robin_candidate
load_only,LoadOnly,4,0.8,fft,edge-b-1,True,False,False,False,True,True,1.532,0.0,0.2,0.38,0.2,1.152,False,round_robin_candidate
load_only,LoadOnly,4,0.8,fft,edge-b-2,True,False,False,False,True,True,1.2,0.0,0.2,0.8,0.32,0.27999999999999986,True,round_robin_candidate
load_only,LoadOnly,4,0.8,fft,edge-c-1,True,False,False,False,False,True,1.34,0.0,0.0,0.56,0.36,0.42000000000000004,False,round_robin_candidate
load_only,LoadOnly,4,0.8,fft,cloud-1,True,False,False,False,False,True,1.76,0.0,0.0,0.2,0.9,0.66,False,round_robin_candidate
load_only,LoadOnly,5,1.1,img-resize,edge-a-1,True,False,True,True,True,True,1.432,0.0,0.2,0.46,0.16,1.012,False,round_robin_candidate
load_only,LoadOnly,5,1.1,img-resize,edge-a-2,True,False,False,False,True,True,1.3152000000000001,0.0,0.2,0.7,0.24,0.5752000000000002,False,round_robin_candidate
load_only,LoadOnly,5,1.1,img-resize,edge-b-1,True,True,True,True,False,True,1.532,0.0,0.0,0.38,0.2,0.9520000000000002,False,round_robin_candidate
load_only,LoadOnly,5,1.1,img-resize,edge-b-2,True,False,False,False,False,True,1.1807999999999998,0.0,0.0,0.8600000000000001,0.32,0.0007999999999997454,False,round_robin_candidate
load_only,LoadOnly,5,1.1,img-resize,edge-c-1,True,False,False,False,False,True,1.34,0.0,0.0,0.56,0.36,0.42000000000000004,True,round_robin_candidate
load_only,LoadOnly,5,1.1,img-resize,cloud-1,True,False,False,False,False,True,1.76,0.0,0.0,0.2,0.9,0.66,False,round_robin_candidate
load_only,LoadOnly,6,1.4,ml-infer,edge-a-1,True,False,False,False,False,True,1.432,0.0,0.0,0.46,0.16,0.8119999999999999,False,round_robin_candidate
load_only,LoadOnly,6,1.4,ml-infer,edge-a-2,False,False,False,False,False,False,1.3152000000000001,0.0,0.0,0.7,0.24,-9999.0,False,infeasible_resource_or_accel
