cache_hit,cache_hit_score,freshness_score,load_score,total_score,pod_count,avg_cold_start,function_name,pod_name,candidate_node,scheduler
False,0.0,0.0,0.2,0.2,0,0.0,fft,pod-fft-2,server_0,cache_aware
True,10.0,0.625,0.2,10.825,0,1.4,fft,pod-fft-2,server_1,cache_aware
False,0.0,0.0,0.2,0.2,0,0.0,fft,pod-fft-2,server_2,cache_aware
False,0.0,0.0,0.2,0.2,0,0.0,fft,pod-fft-2,server_3,cache_aware
True,10.0,0.7692307692307692,0.2,10.96923076923077,0,0.8,img-resize,pod-img-resize-2,server_0,cache_aware
False,0.0,0.0,0.2,0.2,0,0.0,img-resize,pod-img-resize-2,server_1,cache_aware
False,0.0,0.0,0.2,0.2,0,0.0,img-resize,pod-img-resize-2,server_2,cache_aware
False,0.0,0.0,0.2,0.2,0,0.0,img-resize,pod-img-resize-2,server_3,cache_aware
True,10.0,0.5,0.2,10.7,0,0.35,json-parse,pod-json-parse-2,server_0,cache_aware
False,0.0,0.0,0.2,0.2,0,0.0,json-parse,pod-json-parse-2,server_1,cache_aware
False,0.0,0.0,0.2,0.2,0,0.0,json-parse,pod-json-parse-2,server_2,cache_aware
False,0.0,0.0,0.2,0.2,0,0.0,json-parse,pod-json-parse-2,server_3,cache_aware
False,0.0,0.0,0.2,0.2,0,0.0,ml-infer,pod-ml-infer-2,server_0,cache_aware
False,0.0,0.0,0.2,0.2,0,0.0,ml-infer,pod-ml-infer-2,server_1,cache_aware
True,10.0,0.7142857142857143,0.2,10.914285714285713,0,1.9,ml-infer,pod-ml-infer-2,server_2,cache_aware
False,0.0,0.0,0.2,0.2,0,0.0,ml-infer,pod-ml-infer-2,server_3,cache_aware
