t_wait,t_exec,t_start,memory,function_name,function_image,node,replica_id
0.0,0.09999999999999964,12.0,33554432,img-resize,img-resize-cache-aware-cpu,server_0,2255235687216
0.0,0.09999999999999964,12.1,33554432,fft,fft-cache-aware-cpu,server_1,2255235294192
0.0,0.09999999999999964,12.2,33554432,img-resize,img-resize-cache-aware-cpu,server_0,2255235687216
0.0,0.09999999999999964,12.299999999999999,33554432,ml-infer,ml-infer-cache-aware-cpu,server_2,2255235638656
0.0,0.09999999999999964,12.399999999999999,33554432,json-parse,json-parse-cache-aware-cpu,server_0,2255235635664
0.0,0.09999999999999964,12.499999999999998,33554432,fft,fft-cache-aware-cpu,server_1,2255235294192
0.0,0.09999999999999964,12.599999999999998,33554432,img-resize,img-resize-cache-aware-cpu,server_0,2255235687216
0.0,0.09999999999999964,12.699999999999998,33554432,ml-infer,ml-infer-cache-aware-cpu,server_2,2255235638656
0.0,0.09999999999999964,12.799999999999997,33554432,json-parse,json-parse-cache-aware-cpu,server_0,2255235635664
0.0,0.09999999999999964,12.899999999999997,33554432,img-resize,img-resize-cache-aware-cpu,server_0,2255235687216
