simtime,cache_hit,warm_duration,cold_start_penalty,final_duration,avg_cold_start,scenario,function_name,request_id,node_name,replica_id
12.0,True,0.1,0.0,0.1,0.8,cache_aware,img-resize,1,server_0,2255235687216
12.1,True,0.1,0.0,0.1,1.4,cache_aware,fft,2,server_1,2255235294192
12.2,True,0.1,0.0,0.1,0.8,cache_aware,img-resize,3,server_0,2255235687216
12.299999999999999,True,0.1,0.0,0.1,1.9,cache_aware,ml-infer,4,server_2,2255235638656
12.399999999999999,True,0.1,0.0,0.1,0.35,cache_aware,json-parse,5,server_0,2255235635664
12.499999999999998,True,0.1,0.0,0.1,1.4,cache_aware,fft,6,server_1,2255235294192
12.599999999999998,True,0.1,0.0,0.1,0.8,cache_aware,img-resize,7,server_0,2255235687216
12.699999999999998,True,0.1,0.0,0.1,1.9,cache_aware,ml-infer,8,server_2,2255235638656
12.799999999999997,True,0.1,0.0,0.1,0.35,cache_aware,json-parse,9,server_0,2255235635664
12.899999999999997,True,0.1,0.0,0.1,0.8,cache_aware,img-resize,10,server_0,2255235687216
