time,value,function_name,image,replica_id,node_name,successful
2026-07-07 18:04:11.089248,queue,autoscale-python-pi,autoscale-python-pi-cpu,1688316558176,,
2026-07-07 18:04:11.089340,start,autoscale-python-pi,autoscale-python-pi-cpu,1688316558176,,
2026-07-07 18:04:11.090113,finish,autoscale-python-pi,autoscale-python-pi-cpu,1688316558176,server_0,True
2026-07-07 18:04:11.091324,queue,autoscale-python-pi,autoscale-python-pi-cpu,1688316667344,,
2026-07-07 18:04:11.091384,queue,autoscale-python-pi,autoscale-python-pi-cpu,1688316669584,,
2026-07-07 18:04:11.091398,start,autoscale-python-pi,autoscale-python-pi-cpu,1688316667344,,
2026-07-07 18:04:11.091490,finish,autoscale-python-pi,autoscale-python-pi-cpu,1688316667344,server_0,True
2026-07-07 18:04:11.091506,queue,autoscale-python-pi,autoscale-python-pi-cpu,1688316528800,,
2026-07-07 18:04:11.091522,queue,autoscale-python-pi,autoscale-python-pi-cpu,1688316532448,,
2026-07-07 18:04:11.091536,queue,autoscale-python-pi,autoscale-python-pi-cpu,1688316276912,,
2026-07-07 18:04:11.091549,queue,autoscale-python-pi,autoscale-python-pi-cpu,1688316805200,,
2026-07-07 18:04:11.091563,queue,autoscale-python-pi,autoscale-python-pi-cpu,1688316807104,,
2026-07-07 18:04:11.091697,start,autoscale-python-pi,autoscale-python-pi-cpu,1688316669584,,
2026-07-07 18:04:11.091776,finish,autoscale-python-pi,autoscale-python-pi-cpu,1688316669584,server_0,True
2026-07-07 18:04:11.091884,start,autoscale-python-pi,autoscale-python-pi-cpu,1688316528800,,
2026-07-07 18:04:11.091957,finish,autoscale-python-pi,autoscale-python-pi-cpu,1688316528800,server_0,True
2026-07-07 18:04:11.092063,start,autoscale-python-pi,autoscale-python-pi-cpu,1688316532448,,
2026-07-07 18:04:11.092136,finish,autoscale-python-pi,autoscale-python-pi-cpu,1688316532448,server_0,True
2026-07-07 18:04:11.092241,start,autoscale-python-pi,autoscale-python-pi-cpu,1688316276912,,
2026-07-07 18:04:11.092312,finish,autoscale-python-pi,autoscale-python-pi-cpu,1688316276912,server_0,True
2026-07-07 18:04:11.092415,start,autoscale-python-pi,autoscale-python-pi-cpu,1688316805200,,
2026-07-07 18:04:11.092488,finish,autoscale-python-pi,autoscale-python-pi-cpu,1688316805200,server_0,True
2026-07-07 18:04:11.092592,start,autoscale-python-pi,autoscale-python-pi-cpu,1688316807104,,
2026-07-07 18:04:11.092666,finish,autoscale-python-pi,autoscale-python-pi-cpu,1688316807104,server_0,True
