policy_name,function_name,request_count,function_cache_hit_rate,image_cache_hit_rate,data_cache_hit_rate,avg_estimated_latency,total_cold_start_penalty
edge_cache_aware,fft,3,1.0,1.0,1.0,0.19000000000000003,0.0
edge_cache_aware,img-resize,4,1.0,1.0,1.0,0.088,0.0
edge_cache_aware,json-parse,3,1.0,1.0,0.6666666666666666,0.08533333333333333,0.0
edge_cache_aware,ml-infer,3,1.0,1.0,1.0,0.31,0.0
edge_cache_aware,video-analytics,2,0.5,1.0,1.0,1.668,2.4
edge_round_robin,fft,3,0.0,0.0,0.0,2.651666666666667,4.199999999999999
edge_round_robin,img-resize,4,0.25,0.25,0.25,1.1805,2.4000000000000004
edge_round_robin,json-parse,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5166666666666666,0.7
edge_round_robin,ml-infer,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.6876666666666664,3.8
edge_round_robin,video-analytics,2,0.0,0.5,0.5,4.014,4.8
