policy_name,request_id,time,function_name,source_zone,selected_node,function_cache_hit,image_cache_hit,data_cache_hit,estimated_latency,cold_start_penalty,image_pull_penalty,data_fetch_penalty,network_latency,total_score,reason
edge_round_robin,1,0.0,img-resize,zone-a,edge-a-1,True,True,True,0.088,0.0,0.0,0.0,0.008,0.0,round_robin
edge_round_robin,2,0.2,fft,zone-b,edge-a-2,False,False,False,2.642,1.4,0.7,0.35,0.012,0.0,round_robin
edge_round_robin,3,0.4,json-parse,zone-a,edge-b-1,False,False,False,0.7499999999999999,0.35,0.25,0.1,0.01,0.0,round_robin
edge_round_robin,4,0.7,ml-infer,zone-b,cloud-1,False,False,False,3.8949999999999996,1.9,1.1,0.55,0.045,0.0,round_robin
edge_round_robin,5,1.0,img-resize,zone-a,edge-c-1,False,False,False,1.548,0.8,0.45,0.2,0.018,0.0,round_robin
edge_round_robin,6,1.3,video-analytics,zone-c,edge-b-1,False,False,False,5.16,2.4,1.4,0.9,0.01,0.0,round_robin
edge_round_robin,7,1.7,fft,zone-b,edge-a-1,False,False,False,2.638,1.4,0.7,0.35,0.008,0.0,round_robin
edge_round_robin,8,2.0,json-parse,zone-a,edge-a-2,True,True,False,0.15200000000000002,0.0,0.0,0.1,0.012,0.0,round_robin
edge_round_robin,9,2.4,ml-infer,zone-b,edge-a-1,False,False,False,3.8579999999999997,1.9,1.1,0.55,0.008,0.0,round_robin
edge_round_robin,10,2.9,img-resize,zone-a,edge-b-2,False,False,False,1.546,0.8,0.45,0.2,0.016,0.0,round_robin
edge_round_robin,11,3.2,video-analytics,zone-c,edge-c-1,False,True,True,2.868,2.4,0.0,0.0,0.018,0.0,round_robin
edge_round_robin,12,3.6,fft,zone-b,cloud-1,False,False,False,2.675,1.4,0.7,0.35,0.045,0.0,round_robin
edge_round_robin,13,4.0,json-parse,zone-a,edge-a-1,False,False,True,0.6479999999999999,0.35,0.25,0.0,0.008,0.0,round_robin
edge_round_robin,14,4.4,ml-infer,zone-c,edge-b-1,True,True,True,0.31,0.0,0.0,0.0,0.01,0.0,round_robin
edge_round_robin,15,4.9,img-resize,zone-b,edge-b-1,False,False,False,1.54,0.8,0.45,0.2,0.01,0.0,round_robin
edge_cache_aware,1,0.0,img-resize,zone-a,edge-a-1,True,True,True,0.088,0.0,0.0,0.0,0.008,13.44,cache_locality_resource_score
edge_cache_aware,2,0.2,fft,zone-b,edge-b-1,True,True,True,0.19,0.0,0.0,0.0,0.01,12.879999999999999,cache_locality_resource_score
edge_cache_aware,3,0.4,json-parse,zone-a,edge-a-2,True,True,False,0.15200000000000002,0.0,0.0,0.1,0.012,9.88,cache_locality_resource_score
edge_cache_aware,4,0.7,ml-infer,zone-b,edge-b-1,True,True,True,0.31,0.0,0.0,0.0,0.01,11.82,cache_locality_resource_score
edge_cache_aware,5,1.0,img-resize,zone-a,edge-a-1,True,True,True,0.088,0.0,0.0,0.0,0.008,14.29,cache_locality_resource_score
edge_cache_aware,6,1.3,video-analytics,zone-c,edge-c-1,False,True,True,2.868,2.4,0.0,0.0,0.018,4.88,cache_locality_resource_score
edge_cache_aware,7,1.7,fft,zone-b,edge-b-1,True,True,True,0.19,0.0,0.0,0.0,0.01,14.312,cache_locality_resource_score
edge_cache_aware,8,2.0,json-parse,zone-a,edge-a-2,True,True,True,0.052000000000000005,0.0,0.0,0.0,0.012,13.752,cache_locality_resource_score
edge_cache_aware,9,2.4,ml-infer,zone-b,edge-b-1,True,True,True,0.31,0.0,0.0,0.0,0.01,14.212,cache_locality_resource_score
edge_cache_aware,10,2.9,img-resize,zone-a,edge-a-1,True,True,True,0.088,0.0,0.0,0.0,0.008,14.2,cache_locality_resource_score
edge_cache_aware,11,3.2,video-analytics,zone-c,edge-c-1,True,True,True,0.468,0.0,0.0,0.0,0.018,13.745000000000001,cache_locality_resource_score
edge_cache_aware,12,3.6,fft,zone-b,edge-b-1,True,True,True,0.19,0.0,0.0,0.0,0.01,14.104000000000001,cache_locality_resource_score
edge_cache_aware,13,4.0,json-parse,zone-a,edge-a-2,True,True,True,0.052000000000000005,0.0,0.0,0.0,0.012,13.664,cache_locality_resource_score
edge_cache_aware,14,4.4,ml-infer,zone-c,edge-b-1,True,True,True,0.31,0.0,0.0,0.0,0.01,14.004000000000001,cache_locality_resource_score
edge_cache_aware,15,4.9,img-resize,zone-b,edge-a-1,True,True,True,0.088,0.0,0.0,0.0,0.008,14.11,cache_locality_resource_score
