policy_name,request_id,time,function_name,candidate_node,feasible,function_cache_hit,image_cache_hit,data_cache_hit,zone_match,accel_match,resource_score,cache_score,locality_score,load_penalty,latency_penalty,total_score,reason
edge_round_robin,1,0.0,img-resize,edge-a-1,True,True,True,True,True,True,0.0,0.0,0.0,0.2,0.08,1.0,selected_by_round_robin
edge_round_robin,1,0.0,img-resize,edge-a-2,True,False,True,False,True,True,0.0,0.0,0.0,0.35,0.12,0.0,baseline_candidate
edge_round_robin,1,0.0,img-resize,edge-b-1,True,False,False,False,False,True,0.0,0.0,0.0,0.15,0.1,0.0,baseline_candidate
edge_round_robin,1,0.0,img-resize,edge-b-2,True,False,False,False,False,True,0.0,0.0,0.0,0.42,0.16,0.0,baseline_candidate
edge_round_robin,1,0.0,img-resize,edge-c-1,True,False,False,False,False,True,0.0,0.0,0.0,0.3,0.18,0.0,baseline_candidate
edge_round_robin,1,0.0,img-resize,cloud-1,True,False,False,False,False,True,0.0,0.0,0.0,0.1,0.45,0.0,baseline_candidate
edge_round_robin,2,0.2,fft,edge-a-1,True,False,False,False,False,True,0.0,0.0,0.0,0.24000000000000002,0.08,0.0,baseline_candidate
edge_round_robin,2,0.2,fft,edge-a-2,True,False,False,False,False,True,0.0,0.0,0.0,0.35,0.12,1.0,selected_by_round_robin
edge_round_robin,2,0.2,fft,edge-b-1,True,True,True,True,True,True,0.0,0.0,0.0,0.15,0.1,0.0,baseline_candidate
edge_round_robin,2,0.2,fft,edge-b-2,True,False,False,False,True,True,0.0,0.0,0.0,0.42,0.16,0.0,baseline_candidate
edge_round_robin,2,0.2,fft,edge-c-1,True,False,False,False,False,True,0.0,0.0,0.0,0.3,0.18,0.0,baseline_candidate
edge_round_robin,2,0.2,fft,cloud-1,True,False,False,False,False,True,0.0,0.0,0.0,0.1,0.45,0.0,baseline_candidate
edge_round_robin,3,0.4,json-parse,edge-a-1,True,False,False,True,True,True,0.0,0.0,0.0,0.24000000000000002,0.08,0.0,baseline_candidate
edge_round_robin,3,0.4,json-parse,edge-a-2,True,True,True,False,True,True,0.0,0.0,0.0,0.38999999999999996,0.12,0.0,baseline_candidate
edge_round_robin,3,0.4,json-parse,edge-b-1,True,False,False,False,False,True,0.0,0.0,0.0,0.15,0.1,1.0,selected_by_round_robin
edge_round_robin,3,0.4,json-parse,edge-b-2,True,False,False,False,False,True,0.0,0.0,0.0,0.42,0.16,0.0,baseline_candidate
edge_round_robin,3,0.4,json-parse,edge-c-1,True,False,False,False,False,True,0.0,0.0,0.0,0.3,0.18,0.0,baseline_candidate
edge_round_robin,3,0.4,json-parse,cloud-1,True,False,False,False,False,True,0.0,0.0,0.0,0.1,0.45,0.0,baseline_candidate
edge_round_robin,4,0.7,ml-infer,edge-a-1,True,False,False,False,False,True,0.0,0.0,0.0,0.24000000000000002,0.08,0.0,baseline_candidate
edge_round_robin,4,0.7,ml-infer,edge-a-2,False,False,False,False,False,False,0.0,0.0,0.0,0.38999999999999996,0.12,0.0,baseline_candidate
edge_round_robin,4,0.7,ml-infer,edge-b-1,True,True,True,True,True,True,0.0,0.0,0.0,0.19,0.1,0.0,baseline_candidate
edge_round_robin,4,0.7,ml-infer,edge-b-2,False,False,False,False,True,False,0.0,0.0,0.0,0.42,0.16,0.0,baseline_candidate
edge_round_robin,4,0.7,ml-infer,edge-c-1,True,False,False,False,False,True,0.0,0.0,0.0,0.3,0.18,0.0,baseline_candidate
edge_round_robin,4,0.7,ml-infer,cloud-1,True,False,False,False,False,True,0.0,0.0,0.0,0.1,0.45,1.0,selected_by_round_robin
edge_round_robin,5,1.0,img-resize,edge-a-1,True,True,True,True,True,True,0.0,0.0,0.0,0.24000000000000002,0.08,0.0,baseline_candidate
edge_round_robin,5,1.0,img-resize,edge-a-2,True,False,True,False,True,True,0.0,0.0,0.0,0.38999999999999996,0.12,0.0,baseline_candidate
edge_round_robin,5,1.0,img-resize,edge-b-1,True,False,False,False,False,True,0.0,0.0,0.0,0.19,0.1,0.0,baseline_candidate
edge_round_robin,5,1.0,img-resize,edge-b-2,True,False,False,False,False,True,0.0,0.0,0.0,0.42,0.16,0.0,baseline_candidate
edge_round_robin,5,1.0,img-resize,edge-c-1,True,False,False,False,False,True,0.0,0.0,0.0,0.3,0.18,1.0,selected_by_round_robin
edge_round_robin,5,1.0,img-resize,cloud-1,True,False,False,False,False,True,0.0,0.0,0.0,0.14,0.45,0.0,baseline_candidate
edge_round_robin,6,1.3,video-analytics,edge-a-1,True,False,False,False,False,True,0.0,0.0,0.0,0.24000000000000002,0.08,0.0,baseline_candidate
edge_round_robin,6,1.3,video-analytics,edge-a-2,False,False,False,False,False,False,0.0,0.0,0.0,0.38999999999999996,0.12,0.0,baseline_candidate
edge_round_robin,6,1.3,video-analytics,edge-b-1,True,False,False,False,False,True,0.0,0.0,0.0,0.19,0.1,1.0,selected_by_round_robin
edge_round_robin,6,1.3,video-analytics,edge-b-2,False,False,False,False,False,False,0.0,0.0,0.0,0.42,0.16,0.0,baseline_candidate
edge_round_robin,6,1.3,video-analytics,edge-c-1,True,False,True,True,True,True,0.0,0.0,0.0,0.33999999999999997,0.18,0.0,baseline_candidate
edge_round_robin,6,1.3,video-analytics,cloud-1,True,False,False,False,False,True,0.0,0.0,0.0,0.14,0.45,0.0,baseline_candidate
edge_round_robin,7,1.7,fft,edge-a-1,True,False,False,False,False,True,0.0,0.0,0.0,0.24000000000000002,0.08,1.0,selected_by_round_robin
edge_round_robin,7,1.7,fft,edge-a-2,True,True,True,True,False,True,0.0,0.0,0.0,0.38999999999999996,0.12,0.0,baseline_candidate
edge_round_robin,7,1.7,fft,edge-b-1,True,True,True,True,True,True,0.0,0.0,0.0,0.23,0.1,0.0,baseline_candidate
edge_round_robin,7,1.7,fft,edge-b-2,True,False,False,False,True,True,0.0,0.0,0.0,0.42,0.16,0.0,baseline_candidate
edge_round_robin,7,1.7,fft,edge-c-1,True,False,False,False,False,True,0.0,0.0,0.0,0.33999999999999997,0.18,0.0,baseline_candidate
edge_round_robin,7,1.7,fft,cloud-1,True,False,False,False,False,True,0.0,0.0,0.0,0.14,0.45,0.0,baseline_candidate
edge_round_robin,8,2.0,json-parse,edge-a-1,True,False,False,True,True,True,0.0,0.0,0.0,0.28,0.08,0.0,baseline_candidate
edge_round_robin,8,2.0,json-parse,edge-a-2,True,True,True,False,True,True,0.0,0.0,0.0,0.38999999999999996,0.12,1.0,selected_by_round_robin
edge_round_robin,8,2.0,json-parse,edge-b-1,True,True,True,True,False,True,0.0,0.0,0.0,0.23,0.1,0.0,baseline_candidate
edge_round_robin,8,2.0,json-parse,edge-b-2,True,False,False,False,False,True,0.0,0.0,0.0,0.42,0.16,0.0,baseline_candidate
