function_name,replica_id,probe_simtime,inv_t_start,inv_t_exec,probe_node,inv_node,simtime_match,node_match
image-pull-small-cold,2388392280480,3.7,3.7,0.04999999999999982,server_0,server_0,True,True
image-pull-small-cold,2388392280480,3.8000000000000003,3.8000000000000003,0.04999999999999982,server_0,server_0,True,True
image-pull-small-cold,2388392280480,3.9000000000000004,3.9000000000000004,0.04999999999999982,server_0,server_0,True,True
image-pull-small-cold,2388392280480,4.0,4.0,0.04999999999999982,server_0,server_0,True,True
image-pull-small-cold,2388392280480,4.1,4.1,0.04999999999999982,server_0,server_0,True,True
image-pull-small-cold,2388392280480,4.199999999999999,4.199999999999999,0.04999999999999982,server_0,server_0,True,True
image-pull-small-cold,2388392280480,4.299999999999999,4.299999999999999,0.04999999999999982,server_0,server_0,True,True
image-pull-small-cold,2388392280480,4.399999999999999,4.399999999999999,0.04999999999999982,server_0,server_0,True,True
image-pull-small-cold,2388392280480,4.499999999999998,4.499999999999998,0.04999999999999982,server_0,server_0,True,True
image-pull-small-cold,2388392280480,4.599999999999998,4.599999999999998,0.04999999999999982,server_0,server_0,True,True
