time,base_duration,runtime_factor,network_delay,final_duration,phase_name,controller_action,function_name,request_id,node_name,replica_id
2026-07-05 19:05:01.841873,0.18,1.0,0.0,0.18,normal,observe,cosim-python-pi,1,server_0,1966970884448
2026-07-05 19:05:01.842146,0.18,1.0,0.0,0.18,normal,observe,cosim-python-pi,2,server_0,1966970347408
2026-07-05 19:05:01.842294,0.18,1.0,0.0,0.18,normal,observe,cosim-python-pi,3,server_0,1966970884448
2026-07-05 19:05:01.842479,0.18,1.0,0.0,0.18,normal,observe,cosim-python-pi,4,server_0,1966970347408
2026-07-05 19:05:01.842836,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,5,server_0,1966970884448
2026-07-05 19:05:01.843106,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,6,server_0,1966970347408
2026-07-05 19:05:01.843223,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,7,server_0,1966970884448
2026-07-05 19:05:01.843334,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,8,server_0,1966970347408
2026-07-05 19:05:01.843457,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,9,server_0,1966970884448
2026-07-05 19:05:01.843662,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,10,server_0,1966970347408
2026-07-05 19:05:01.843821,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,11,server_0,1966970884448
2026-07-05 19:05:01.843971,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,12,server_0,1966970347408
2026-07-05 19:05:01.844147,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,13,server_0,1966970884448
2026-07-05 19:05:01.844305,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,14,server_0,1966970347408
2026-07-05 19:05:01.844439,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,15,server_0,1966970884448
2026-07-05 19:05:01.844584,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,16,server_0,1966970347408
2026-07-05 19:05:01.844756,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,17,server_0,1966970884448
2026-07-05 19:05:01.845066,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,18,server_0,1966970347408
2026-07-05 19:05:01.845203,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,19,server_0,1966970884448
2026-07-05 19:05:01.845325,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,20,server_0,1966970347408
2026-07-05 19:05:01.845443,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,21,server_0,1966970884448
2026-07-05 19:05:01.845684,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,22,server_0,1966970347408
2026-07-05 19:05:01.845809,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,23,server_0,1966970884448
2026-07-05 19:05:01.845927,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,24,server_0,1966970347408
2026-07-05 19:05:01.846134,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,25,server_0,1966970884448
2026-07-05 19:05:01.846310,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,26,server_0,1966970347408
2026-07-05 19:05:01.846496,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,27,server_0,1966970884448
2026-07-05 19:05:01.846674,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,28,server_0,1966970347408
2026-07-05 19:05:01.846821,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,29,server_0,1966970884448
2026-07-05 19:05:01.847147,0.18,0.95,0.0,0.17099999999999999,cooldown,release_attention,cosim-python-pi,30,server_0,1966970347408
2026-07-05 19:05:01.847302,0.18,0.95,0.0,0.17099999999999999,cooldown,release_attention,cosim-python-pi,31,server_0,1966970884448
2026-07-05 19:05:01.847600,0.18,0.95,0.0,0.17099999999999999,cooldown,release_attention,cosim-python-pi,32,server_0,1966970347408
2026-07-05 19:05:01.847823,0.18,0.95,0.0,0.17099999999999999,cooldown,release_attention,cosim-python-pi,33,server_0,1966970884448
2026-07-05 19:05:01.847978,0.18,0.95,0.0,0.17099999999999999,cooldown,release_attention,cosim-python-pi,34,server_0,1966970347408
2026-07-05 19:05:01.848159,0.18,0.95,0.0,0.17099999999999999,cooldown,release_attention,cosim-python-pi,35,server_0,1966970884448
2026-07-05 19:05:01.848308,0.18,0.95,0.0,0.17099999999999999,cooldown,release_attention,cosim-python-pi,36,server_0,1966970347408
