time,t_wait,t_exec,t_start,memory,function_name,function_image,node,replica_id
2026-07-06 21:26:14.491201,0.0,0.30000000000000004,1.05,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947893440
2026-07-06 21:26:14.491381,0.0,0.30000000000000004,1.1,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947598992
2026-07-06 21:26:14.491571,0.0,0.30000000000000004,1.1500000000000001,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947603152
2026-07-06 21:26:14.491762,0.0,0.30000000000000004,1.2000000000000002,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947893440
2026-07-06 21:26:14.491943,0.0,0.30000000000000004,1.2500000000000002,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947598992
2026-07-06 21:26:14.492105,0.0,0.30000000000000004,1.3000000000000003,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947603152
2026-07-06 21:26:14.492270,0.0,0.30000000000000004,1.3500000000000003,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947893440
2026-07-06 21:26:14.492443,0.0,0.30000000000000004,1.4000000000000004,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947598992
2026-07-06 21:26:14.492595,0.0,0.30000000000000004,1.4500000000000004,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947603152
2026-07-06 21:26:14.492799,0.0,0.30000000000000004,1.5000000000000004,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947893440
2026-07-06 21:26:14.492976,0.0,0.30000000000000004,1.5500000000000005,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947598992
2026-07-06 21:26:14.493185,0.0,0.30000000000000004,1.6000000000000005,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947603152
2026-07-06 21:26:14.493350,0.0,0.30000000000000004,1.6500000000000006,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947893440
2026-07-06 21:26:14.493571,0.0,0.2999999999999998,1.7000000000000006,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947598992
2026-07-06 21:26:14.493731,0.0,0.30000000000000004,1.7500000000000007,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947603152
2026-07-06 21:26:14.493906,0.0,0.2999999999999998,1.8000000000000007,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947893440
2026-07-06 21:26:14.494209,0.0,0.30000000000000004,1.8500000000000008,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947598992
2026-07-06 21:26:14.494386,0.0,0.2999999999999998,1.9000000000000008,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947603152
2026-07-06 21:26:14.494544,0.0,0.30000000000000004,1.9500000000000008,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947893440
2026-07-06 21:26:14.494704,0.0,0.2999999999999998,2.000000000000001,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947598992
2026-07-06 21:26:14.494937,0.0,0.2999999999999998,2.0500000000000007,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947603152
2026-07-06 21:26:14.495121,0.0,0.2999999999999998,2.1000000000000005,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947893440
2026-07-06 21:26:14.495311,0.0,0.2999999999999998,2.1500000000000004,134217728,load-balanced-python-pi,load-balanced-python-pi-cpu,server_0,2345947598992
