time,value,function_name,node_name,replica_id
2026-07-11 14:31:22.677550,deploy,load-balanced-python-pi,server_0,2083384879632
2026-07-11 14:31:22.678547,deploy,load-balanced-python-pi,server_0,2083384884432
2026-07-11 14:31:22.678547,startup,load-balanced-python-pi,server_0,2083384884432
2026-07-11 14:31:22.678547,deploy,load-balanced-python-pi,server_0,2083384878672
2026-07-11 14:31:22.678547,startup,load-balanced-python-pi,server_0,2083384878672
2026-07-11 14:31:22.678547,setup,load-balanced-python-pi,server_0,2083384884432
2026-07-11 14:31:22.678547,setup,load-balanced-python-pi,server_0,2083384878672
2026-07-11 14:31:22.678547,finish,load-balanced-python-pi,server_0,2083384884432
2026-07-11 14:31:22.678547,finish,load-balanced-python-pi,server_0,2083384878672
2026-07-11 14:31:22.679545,startup,load-balanced-python-pi,server_0,2083384879632
2026-07-11 14:31:22.679545,setup,load-balanced-python-pi,server_0,2083384879632
2026-07-11 14:31:22.679545,finish,load-balanced-python-pi,server_0,2083384879632
