time,request_id,replica_index,running_replicas,simtime,function_name,selected_node,selected_image,selected_replica_id,policy
2026-07-07 18:31:36.071465,1,0,3,3.05,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387507104,instrumented_round_robin
2026-07-07 18:31:36.071637,2,1,3,3.0999999999999996,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387413264,instrumented_round_robin
2026-07-07 18:31:36.071771,3,2,3,3.1499999999999995,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387417424,instrumented_round_robin
2026-07-07 18:31:36.071895,4,0,3,3.1999999999999993,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387507104,instrumented_round_robin
2026-07-07 18:31:36.072010,5,1,3,3.249999999999999,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387413264,instrumented_round_robin
2026-07-07 18:31:36.072125,6,2,3,3.299999999999999,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387417424,instrumented_round_robin
2026-07-07 18:31:36.072244,7,0,3,3.3499999999999988,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387507104,instrumented_round_robin
2026-07-07 18:31:36.072397,8,1,3,3.3999999999999986,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387413264,instrumented_round_robin
2026-07-07 18:31:36.072548,9,2,3,3.4499999999999984,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387417424,instrumented_round_robin
2026-07-07 18:31:36.072710,10,0,3,3.4999999999999982,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387507104,instrumented_round_robin
2026-07-07 18:31:36.072854,11,1,3,3.549999999999998,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387413264,instrumented_round_robin
2026-07-07 18:31:36.072992,12,2,3,3.599999999999998,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387417424,instrumented_round_robin
2026-07-07 18:31:36.073153,13,0,3,3.6499999999999977,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387507104,instrumented_round_robin
2026-07-07 18:31:36.073371,14,1,3,3.6999999999999975,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387413264,instrumented_round_robin
2026-07-07 18:31:36.073515,15,2,3,3.7499999999999973,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387417424,instrumented_round_robin
2026-07-07 18:31:36.073721,16,0,3,3.799999999999997,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387507104,instrumented_round_robin
2026-07-07 18:31:36.073867,17,1,3,3.849999999999997,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387413264,instrumented_round_robin
2026-07-07 18:31:36.074020,18,2,3,3.899999999999997,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387417424,instrumented_round_robin
2026-07-07 18:31:36.074162,19,0,3,3.9499999999999966,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387507104,instrumented_round_robin
2026-07-07 18:31:36.074291,20,1,3,3.9999999999999964,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387413264,instrumented_round_robin
2026-07-07 18:31:36.074566,21,2,3,4.049999999999996,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387417424,instrumented_round_robin
2026-07-07 18:31:36.074709,22,0,3,4.099999999999996,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387507104,instrumented_round_robin
2026-07-07 18:31:36.074842,23,1,3,4.149999999999996,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387413264,instrumented_round_robin
2026-07-07 18:31:36.074979,24,2,3,4.199999999999996,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387417424,instrumented_round_robin
2026-07-07 18:31:36.075107,25,0,3,4.249999999999996,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387507104,instrumented_round_robin
2026-07-07 18:31:36.075241,26,1,3,4.299999999999995,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387413264,instrumented_round_robin
2026-07-07 18:31:36.075374,27,2,3,4.349999999999995,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387417424,instrumented_round_robin
2026-07-07 18:31:36.075508,28,0,3,4.399999999999995,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387507104,instrumented_round_robin
2026-07-07 18:31:36.075634,29,1,3,4.449999999999995,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387413264,instrumented_round_robin
2026-07-07 18:31:36.075761,30,2,3,4.499999999999995,load-balanced-python-pi,server_0,load-balanced-python-pi-cpu,1923387417424,instrumented_round_robin
