function_name,replica_id,probe_simtime,inv_t_start,inv_t_exec,probe_node,inv_node,probe_cpu_millis,probe_memory_bytes,simtime_match,node_match
resource-heavy-python-pi,2177742489728,3.566666666666668,3.566666666666668,1.5,server_0,server_0,1400.0,134217728.0,True,True
resource-heavy-python-pi,2177742489728,4.233333333333335,4.233333333333335,1.5,server_0,server_0,1400.0,134217728.0,True,True
resource-heavy-python-pi,2177742489728,4.900000000000001,4.900000000000001,1.5,server_0,server_0,1400.0,134217728.0,True,True
resource-heavy-python-pi,2177742489728,5.566666666666667,5.566666666666667,1.5,server_0,server_0,1400.0,134217728.0,True,True
resource-heavy-python-pi,2177742489728,6.233333333333333,6.233333333333333,1.5,server_0,server_0,1400.0,134217728.0,True,True
resource-heavy-python-pi,2177742489728,6.8999999999999995,6.8999999999999995,1.4999999999999991,server_0,server_0,1400.0,134217728.0,True,True
resource-heavy-python-pi,2177742490928,3.2333333333333347,3.2333333333333347,1.4999999999999996,server_0,server_0,1400.0,134217728.0,True,True
resource-heavy-python-pi,2177742490928,3.9000000000000017,3.9000000000000017,1.5000000000000004,server_0,server_0,1400.0,134217728.0,True,True
resource-heavy-python-pi,2177742490928,4.566666666666668,4.566666666666668,1.5,server_0,server_0,1400.0,134217728.0,True,True
resource-heavy-python-pi,2177742490928,5.233333333333334,5.233333333333334,1.5,server_0,server_0,1400.0,134217728.0,True,True
resource-heavy-python-pi,2177742490928,5.9,5.9,1.5,server_0,server_0,1400.0,134217728.0,True,True
resource-heavy-python-pi,2177742490928,6.566666666666666,6.566666666666666,1.5,server_0,server_0,1400.0,134217728.0,True,True
