time,cpu,cpu_util,mem_util,node,replica_id
2026-07-07 17:02:56.318477,10560.0,0.12,0,server_0,2438477943472
2026-07-07 17:02:56.320047,0.0,0.0,0,server_0,2438477943472
2026-07-07 17:02:56.320097,10560.0,0.12,0,server_0,2438477535568
2026-07-07 17:02:56.321182,10560.0,0.12,0,server_0,2438477943472
2026-07-07 17:02:56.321200,10560.0,0.12,0,server_0,2438477535568
2026-07-07 17:02:56.322079,10560.0,0.12,0,server_0,2438477943472
2026-07-07 17:02:56.322094,10560.0,0.12,0,server_0,2438477535568
2026-07-07 17:02:56.323118,10560.0,0.12,0,server_0,2438477943472
2026-07-07 17:02:56.323132,10560.0,0.12,0,server_0,2438477535568
2026-07-07 17:02:56.323654,10560.0,0.12,0,server_0,2438477943472
2026-07-07 17:02:56.323669,10560.0,0.12,0,server_0,2438477535568
2026-07-07 17:02:56.324098,0.0,0.0,0,server_0,2438477943472
2026-07-07 17:02:56.324111,0.0,0.0,0,server_0,2438477535568
2026-07-07 17:02:56.324319,0.0,0.0,0,server_0,2438477943472
2026-07-07 17:02:56.324331,0.0,0.0,0,server_0,2438477535568
