time,simtime,replica_id,request_id,expected_t_exec,function_name,node,phase_name,controller_action
2026-07-11 14:33:08.087915,0.8333333333333333,1812184827408,1,0.18,cosim-python-pi,server_0,normal,observe
2026-07-11 14:33:08.087915,1.1666666666666665,1812184827408,2,0.18,cosim-python-pi,server_0,normal,observe
2026-07-11 14:33:08.087915,1.4999999999999998,1812184827408,3,0.18,cosim-python-pi,server_0,normal,observe
2026-07-11 14:33:08.087915,1.833333333333333,1812184827408,4,0.18,cosim-python-pi,server_0,normal,observe
2026-07-11 14:33:08.088912,2.1666666666666665,1812184827408,5,0.323,cosim-python-pi,server_0,edge_pressure,scale_attention
2026-07-11 14:33:08.088912,2.5,1812184827408,6,0.323,cosim-python-pi,server_0,edge_pressure,scale_attention
2026-07-11 14:33:08.088912,2.625,1812184827408,7,0.323,cosim-python-pi,server_0,edge_pressure,scale_attention
2026-07-11 14:33:08.088912,2.75,1812184827408,8,0.323,cosim-python-pi,server_0,edge_pressure,scale_attention
2026-07-11 14:33:08.088912,2.875,1812184827408,9,0.323,cosim-python-pi,server_0,edge_pressure,scale_attention
2026-07-11 14:33:08.089910,3.0,1812184834848,10,0.323,cosim-python-pi,server_0,edge_pressure,scale_attention
2026-07-11 14:33:08.089910,3.125,1812184827408,11,0.323,cosim-python-pi,server_0,edge_pressure,scale_attention
2026-07-11 14:33:08.089910,3.25,1812184834848,12,0.323,cosim-python-pi,server_0,edge_pressure,scale_attention
2026-07-11 14:33:08.089910,3.375,1812184827408,13,0.323,cosim-python-pi,server_0,edge_pressure,scale_attention
2026-07-11 14:33:08.089910,3.5,1812184834848,14,0.323,cosim-python-pi,server_0,edge_pressure,scale_attention
2026-07-11 14:33:08.089910,3.625,1812184827408,15,0.323,cosim-python-pi,server_0,edge_pressure,scale_attention
2026-07-11 14:33:08.089910,3.75,1812184834848,16,0.323,cosim-python-pi,server_0,edge_pressure,scale_attention
2026-07-11 14:33:08.090907,3.875,1812184827408,17,0.323,cosim-python-pi,server_0,edge_pressure,scale_attention
2026-07-11 14:33:08.090907,4.0,1812184834848,18,0.448,cosim-python-pi,server_0,network_slowdown,network_attention
2026-07-11 14:33:08.090907,4.125,1812184827408,19,0.448,cosim-python-pi,server_0,network_slowdown,network_attention
2026-07-11 14:33:08.090907,4.25,1812184834848,20,0.448,cosim-python-pi,server_0,network_slowdown,network_attention
2026-07-11 14:33:08.090907,4.375,1812184827408,21,0.448,cosim-python-pi,server_0,network_slowdown,network_attention
2026-07-11 14:33:08.091959,4.5,1812184834848,22,0.448,cosim-python-pi,server_0,network_slowdown,network_attention
2026-07-11 14:33:08.091959,4.7,1812184827408,23,0.448,cosim-python-pi,server_0,network_slowdown,network_attention
2026-07-11 14:33:08.091959,4.9,1812184834848,24,0.448,cosim-python-pi,server_0,network_slowdown,network_attention
2026-07-11 14:33:08.091959,5.1000000000000005,1812184827408,25,0.448,cosim-python-pi,server_0,network_slowdown,network_attention
2026-07-11 14:33:08.091959,5.300000000000001,1812184834848,26,0.448,cosim-python-pi,server_0,network_slowdown,network_attention
2026-07-11 14:33:08.091959,5.500000000000001,1812184827408,27,0.448,cosim-python-pi,server_0,network_slowdown,network_attention
2026-07-11 14:33:08.092902,5.700000000000001,1812184834848,28,0.448,cosim-python-pi,server_0,network_slowdown,network_attention
2026-07-11 14:33:08.092902,5.900000000000001,1812184827408,29,0.448,cosim-python-pi,server_0,network_slowdown,network_attention
2026-07-11 14:33:08.092902,6.100000000000001,1812184834848,30,0.17099999999999999,cosim-python-pi,server_0,cooldown,release_attention
2026-07-11 14:33:08.092902,6.300000000000002,1812184827408,31,0.17099999999999999,cosim-python-pi,server_0,cooldown,release_attention
2026-07-11 14:33:08.093900,6.500000000000002,1812184834848,32,0.17099999999999999,cosim-python-pi,server_0,cooldown,release_attention
2026-07-11 14:33:08.093900,7.000000000000002,1812184827408,33,0.17099999999999999,cosim-python-pi,server_0,cooldown,release_attention
2026-07-11 14:33:08.093900,7.500000000000002,1812184834848,34,0.17099999999999999,cosim-python-pi,server_0,cooldown,release_attention
2026-07-11 14:33:08.093900,8.000000000000002,1812184827408,35,0.17099999999999999,cosim-python-pi,server_0,cooldown,release_attention
2026-07-11 14:33:08.095894,8.500000000000002,1812184834848,36,0.17099999999999999,cosim-python-pi,server_0,cooldown,release_attention
